Date,CLOSE,HIGH,LOW,OPEN,COUNT
2014-07-17,623.01,628.94,610.0,613.03,2255
2014-07-18,629.7,632.8,618.46,622.73,4986
2014-07-19,627.53,632.06,624.95,629.71,3889
2014-07-20,624.66,628.89,619.99,628.88,1891
2014-07-21,620.0,625.31,615.04,624.49,4099
2014-07-22,619.01,624.98,618.45,620.12,3506
2014-07-23,619.01,622.99,615.65,619.01,2623
2014-07-24,603.0,621.47,591.5,619.01,5970
2014-07-25,600.83,609.56,592.95,601.66,4827
2014-07-26,595.05,602.9,590.0,602.9,4131
2014-07-27,591.79,602.82,589.3,595.12,3261
2014-07-28,587.73,594.73,570.5,591.8,6012
2014-07-29,583.22,591.15,578.0,586.54,5195
2014-07-30,561.24,585.86,557.4,583.23,6180
2014-07-31,582.03,589.08,555.9,561.3,7535
2014-08-01,596.76,606.97,581.77,582.04,5958
2014-08-02,588.91,598.6,584.95,596.76,4246
2014-08-03,588.73,591.0,578.24,588.47,3570
2014-08-04,588.3,595.69,581.8,586.94,4864
2014-08-05,580.35,588.98,578.25,588.3,3506
2014-08-06,581.17,586.35,576.44,580.35,2964
2014-08-07,585.01,591.89,579.0,581.16,3419
2014-08-08,588.02,594.99,583.9,584.8,8940
2014-08-09,587.79,590.53,585.2,588.6,4885
2014-08-10,588.75,596.99,586.0,587.62,4546
2014-08-11,572.7,590.98,571.07,588.75,7111
2014-08-12,567.18,573.48,561.9,572.7,7380
2014-08-13,548.8,571.99,524.55,567.31,9842
2014-08-14,507.02,549.99,497.01,548.8,9052
2014-08-15,500.21,520.84,481.55,507.02,10642
2014-08-16,521.97,529.69,485.01,500.25,10307
2014-08-17,497.65,524.5,485.39,521.97,7806
2014-08-18,472.83,510.0,441.99,496.86,12024
2014-08-19,491.54,493.8,453.01,472.41,10321
2014-08-20,516.39,527.01,465.99,491.54,10587
2014-08-21,519.28,533.99,510.76,516.39,9720
2014-08-22,513.06,526.85,500.01,519.29,8757
2014-08-23,494.56,514.68,486.99,513.09,8343
2014-08-24,506.09,514.11,495.02,495.02,7191
2014-08-25,501.73,507.56,496.75,506.09,9016
2014-08-26,512.14,515.76,501.76,501.76,8364
2014-08-27,510.22,523.03,510.21,512.18,8518
2014-08-28,506.0,514.96,505.93,510.32,6332
2014-08-29,507.95,514.48,501.25,506.0,6698
2014-08-30,500.85,509.3,498.32,507.95,6414
2014-08-31,477.75,504.74,473.33,500.85,7286
2014-09-01,474.54,490.0,472.01,477.77,10750
2014-09-02,474.12,484.56,470.42,473.92,7580
2014-09-03,472.56,477.98,471.0,474.12,7320
2014-09-04,487.44,496.98,471.04,473.13,7448
2014-09-05,477.02,489.65,473.03,487.44,8457
2014-09-06,478.41,484.99,477.1,477.64,7956
