Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,17408.0,16930.0,16719.0,17098.0,777289010.0
2000-01-04,16908.0,15851.0,15851.0,16908.0,102420236.0
2000-01-05,16302.0,16245.0,15350.0,15871.0,112100212.0
2000-01-06,16499.0,16107.0,15977.0,16237.0,105251368.0
2000-01-07,16449.0,16309.0,16125.0,16125.0,633182580.0
2000-01-10,17056.55,17022.13,16324.72,16324.72,103685103.0
2000-01-11,17196.89,16572.72,16572.72,17045.18,968851800.0
2000-01-12,16723.69,16616.87,16330.8,16573.72,984624330.0
2000-01-13,17715.31,17298.07,16663.3,16663.3,145953085.0
2000-01-14,17800.1,17657.95,17305.53,17305.53,135141538.0
2000-01-17,18099.23,18053.22,17678.49,17678.49,621525360.0
2000-01-18,18061.78,17903.23,17624.82,18061.78,979702320.0
2000-01-19,18074.79,17470.24,17470.04,17905.0,863731540.0
2000-01-20,17622.39,17176.73,17028.6,17487.18,710331340.0
2000-01-21,17372.47,17034.21,16901.0,17187.94,739029190.0
2000-01-24,17262.8,16971.73,16971.73,17048.52,546244490.0
2000-01-26,17105.26,17105.26,16726.55,16971.92,682595590.0
2000-01-27,17421.58,17081.16,17081.16,17114.0,817606910.0
2000-01-28,17252.2,16734.39,16546.59,17149.58,101969933.0
2000-01-31,16748.64,16388.27,16167.33,16743.81,883015440.0
2000-02-01,16675.15,16522.2,16389.12,16389.12,858663370.0
2000-02-02,16874.61,16868.46,16545.79,16545.79,831658300.0
2000-02-03,17457.25,17457.12,16891.5,16891.5,109046406.0
2000-02-04,17961.51,17932.47,17470.71,17470.71,113118094.0
2000-02-07,18125.6,18125.6,17746.45,17937.05,980741980.0
2000-02-08,18729.09,18685.58,18248.89,18248.89,130692851.0
2000-02-09,18885.84,18361.39,18223.78,18758.99,110882643.0
2000-02-10,18671.81,18603.81,18154.57,18366.51,947495680.0
2000-02-11,18774.89,18083.46,18026.56,18635.29,103356331.0
2000-02-14,18264.46,17819.01,17745.98,18083.22,772925830.0
2000-02-15,17931.97,17920.73,17450.59,17818.33,919502860.0
2000-02-16,18247.39,18112.47,17742.64,17920.86,111363524.0
2000-02-17,18297.38,17979.41,17979.41,18115.95,683213070.0
2000-02-18,18008.27,17625.02,17489.02,17979.41,733356690.0
2000-02-21,17886.66,17699.76,17364.38,17625.7,945919700.0
2000-02-22,17913.41,17489.33,17465.51,17698.4,732701660.0
2000-02-23,17855.37,17833.39,17479.28,17489.33,676876330.0
2000-02-24,18118.76,17775.79,17706.21,17845.93,825430580.0
2000-02-25,17987.65,17786.82,17757.77,17784.11,539138280.0
2000-02-28,17786.82,17542.7,17382.87,17786.82,420139350.0
2000-02-29,17817.67,17660.2,17544.61,17544.61,673509270.0
2000-03-01,17953.01,17953.01,17654.74,17668.27,923870980.0
2000-03-02,18154.14,18015.5,17809.47,17965.97,972304580.0
2000-03-03,18631.73,18631.73,18015.5,18015.5,594473490.0
2000-03-08,18617.08,18282.93,18183.85,18617.08,335353120.0
2000-03-09,18650.46,18650.46,18285.36,18285.36,557162490.0
2000-03-10,18720.11,18280.35,18232.94,18650.46,437411490.0
2000-03-13,18279.33,17594.82,17505.56,18279.33,567101020.0
2000-03-14,17940.83,17221.88,17221.88,17594.82,675101690.0
2000-03-15,17468.63,17381.6,16922.37,17228.84,742844600.0
2000-03-16,17660.64,17642.22,17396.94,17396.94,740584040.0
2000-03-17,17733.43,17511.24,17470.09,17654.32,657555110.0
