,DATE,CLOSE,HIGH,LOW,OPEN
0,2018-11-01,196.69,200.92,195.64,197.36
1,2018-11-02,199.71,204.15,197.06,199.45
2,2018-11-03,198.79,202.48,197.56,198.29
3,2018-11-04,199.92,218.91,197.55,198.04
4,2018-11-05,207.18,213.24,204.9,211.42
5,2018-11-06,218.24,221.22,206.77,214.58
6,2018-11-07,216.96,225.1,214.7,217.16
7,2018-11-08,211.99,220.63,209.44,213.0
8,2018-11-09,211.27,215.35,205.4,211.94
9,2018-11-10,210.61,215.74,207.12,210.85
10,2018-11-11,209.73,213.67,205.88,207.26
11,2018-11-12,210.41,214.28,206.71,209.89
12,2018-11-13,203.49,213.35,202.63,206.95
13,2018-11-14,175.92,211.25,164.57,180.49
14,2018-11-15,177.21,189.98,165.14,174.86
15,2018-11-16,174.85,185.01,169.0,180.68
16,2018-11-17,171.95,177.67,169.18,174.51
17,2018-11-18,177.32,182.93,170.26,172.14
18,2018-11-19,147.27,178.98,141.24,153.92
19,2018-11-20,130.76,154.79,118.5,136.97
20,2018-11-21,130.79,141.63,121.56,125.26
21,2018-11-22,134.57,140.38,121.82,134.45
22,2018-11-23,120.19,130.32,107.83,121.93
23,2018-11-24,123.16,130.18,106.25,120.63
24,2018-11-25,100.94,121.36,98.11,110.26
25,2018-11-26,106.51,121.44,102.5,112.17
26,2018-11-27,103.84,111.22,99.03,109.9
27,2018-11-28,122.78,125.55,107.16,114.9
28,2018-11-29,119.51,122.87,112.16,118.32
29,2018-11-30,115.25,121.1,109.18,116.22
30,2018-12-03,108.35,119.79,104.58,117.7
31,2018-12-04,108.71,114.71,104.36,109.79
32,2018-12-05,101.71,111.26,100.77,108.75
33,2018-12-06,95.05,105.39,93.75,103.9
34,2018-12-07,92.89,107.0,81.12,95.08
35,2018-12-08,92.89,107.0,81.12,95.08
36,2018-12-09,92.89,107.0,81.12,95.08
37,2018-12-10,89.06,99.37,87.35,94.91
38,2018-12-11,87.89,94.11,84.92,89.04
39,2018-12-12,89.99,93.95,85.85,87.89
40,2018-12-13,84.33,92.92,83.54,89.84
41,2018-12-14,81.77,88.44,80.73,84.3
42,2018-12-15,81.77,88.44,80.73,84.3
43,2018-12-16,81.77,88.44,80.73,84.3
44,2018-12-17,93.88,100.19,83.14,85.07
45,2018-12-18,93.82,98.92,91.2,93.89
46,2018-12-19,98.81,110.87,93.62,93.82
47,2018-12-20,114.08,120.45,97.88,98.81
48,2018-12-21,107.84,122.62,104.9,114.08
49,2018-12-22,107.84,122.62,104.9,114.08
50,2018-12-23,107.84,122.62,104.9,114.08
51,2018-12-24,142.14,163.29,126.55,128.29
52,2018-12-25,135.0,148.5,121.26,142.14
53,2018-12-26,132.7,141.33,123.19,130.52
54,2018-12-27,115.4,136.2,112.86,128.47
55,2018-12-28,134.46,143.34,111.94,115.56
56,2018-12-29,134.46,143.34,111.94,115.56
57,2018-12-30,134.46,143.34,111.94,115.56
58,2018-12-31,135.2,145.14,128.13,136.55
59,2019-01-01,143.35,148.0,127.8,129.97
60,2019-01-02,154.41,162.4,135.81,143.35
61,2019-01-03,147.98,163.0,144.17,154.44
62,2019-01-04,153.85,161.0,144.76,147.56
63,2019-01-05,153.85,161.0,144.76,147.56
64,2019-01-06,153.85,161.0,144.76,147.56
65,2019-01-07,150.56,163.46,149.3,157.6
66,2019-01-08,153.04,157.27,145.92,150.56
67,2019-01-09,152.78,160.01,147.78,153.04
68,2019-01-10,126.91,154.34,121.65,149.32
69,2019-01-11,128.01,131.78,121.02,126.92
70,2019-01-12,128.01,131.78,121.02,126.92
71,2019-01-13,128.01,131.78,121.02,126.92
72,2019-01-14,127.9,134.36,112.14,115.92
73,2019-01-15,120.29,133.31,115.96,127.89
74,2019-01-16,122.29,129.59,117.32,120.29
75,2019-01-17,124.28,126.28,116.5,122.31
76,2019-01-18,119.46,126.35,117.45,121.48
77,2019-01-19,119.46,126.35,117.45,121.48
78,2019-01-20,119.46,126.35,117.45,121.48
79,2019-01-21,116.71,120.0,112.81,116.97
80,2019-01-22,117.65,121.81,110.6,115.04
81,2019-01-23,116.25,121.13,114.69,117.55
82,2019-01-24,116.4,119.99,113.18,116.25
83,2019-01-25,115.02,119.77,113.81,116.4
84,2019-01-26,115.02,119.77,113.81,116.4
85,2019-01-27,115.02,119.77,113.81,116.4
86,2019-01-28,103.5,115.99,100.28,113.38
87,2019-01-29,104.59,108.58,100.92,103.5
88,2019-01-30,107.14,111.67,102.53,106.86
89,2019-01-31,105.74,112.68,104.29,107.15
90,2019-02-01,106.32,109.61,102.54,105.74
91,2019-02-02,106.32,109.61,102.54,105.74
92,2019-02-03,106.32,109.61,102.54,105.74
93,2019-02-04,106.53,110.44,104.27,106.14
94,2019-02-05,106.02,109.29,104.7,106.53
95,2019-02-06,103.18,109.04,99.71,106.06
96,2019-02-07,105.67,109.0,102.27,105.9
97,2019-02-08,117.26,124.53,100.39,105.67
98,2019-02-09,117.26,124.53,100.39,105.67
99,2019-02-10,117.26,124.53,100.39,105.67
100,2019-02-11,119.54,127.99,116.67,119.86
101,2019-02-12,119.74,126.01,116.49,119.5
102,2019-02-13,123.31,129.3,118.95,119.58
103,2019-02-14,120.33,126.53,118.46,123.31
104,2019-02-15,123.81,126.33,118.55,120.32
105,2019-02-16,123.81,126.33,118.55,120.32
106,2019-02-17,123.81,126.33,118.55,120.32
107,2019-02-18,145.58,151.86,124.67,126.43
108,2019-02-19,143.03,153.4,139.93,145.58
109,2019-02-20,144.85,151.59,138.16,143.1
110,2019-02-21,143.43,153.85,141.22,144.84
111,2019-02-22,146.87,152.11,141.63,143.43
112,2019-02-23,146.87,152.11,141.63,143.43
113,2019-02-24,146.87,152.11,141.63,143.43
114,2019-02-25,135.69,144.69,129.6,138.22
115,2019-02-26,134.81,142.61,132.05,135.69
116,2019-02-27,130.9,139.8,125.16,134.81
117,2019-02-28,134.97,138.91,129.63,130.84
118,2019-03-01,136.09,140.72,133.29,134.97
119,2019-03-02,136.09,140.72,133.29,134.97
120,2019-03-03,136.09,140.72,133.29,134.97
121,2019-03-04,125.31,134.62,122.14,134.62
122,2019-03-05,138.78,140.87,123.76,125.3
123,2019-03-06,136.35,143.78,132.71,134.97
124,2019-03-07,141.23,143.27,134.26,136.35
125,2019-03-08,135.35,142.85,134.09,137.28
126,2019-03-09,135.35,142.85,134.09,137.28
127,2019-03-10,135.35,142.85,134.09,137.28
128,2019-03-11,131.88,139.47,130.0,134.31
129,2019-03-12,132.8,138.22,126.8,135.02
130,2019-03-13,131.06,136.65,129.63,132.8
131,2019-03-14,131.2,138.19,128.48,131.06
132,2019-03-15,139.56,141.0,130.58,134.54
133,2019-03-16,139.56,141.0,130.58,134.54
134,2019-03-17,139.56,141.0,130.58,134.54
135,2019-03-18,140.73,144.87,135.03,137.96
136,2019-03-19,137.53,142.28,135.54,137.14
137,2019-03-20,137.59,142.03,134.97,137.53
138,2019-03-21,135.02,142.88,131.57,137.6
139,2019-03-22,138.4,139.4,133.55,135.02
140,2019-03-23,138.4,139.4,133.55,135.02
141,2019-03-24,138.4,139.4,133.55,135.02
142,2019-03-25,131.8,138.75,130.3,137.7
143,2019-03-26,135.53,136.2,130.96,134.06
144,2019-03-27,140.31,141.03,132.03,135.53
145,2019-03-28,139.77,141.45,136.26,140.31
146,2019-03-29,140.36,144.88,136.28,139.77
147,2019-03-30,140.36,144.88,136.28,139.77
148,2019-03-31,140.36,144.88,136.28,139.77
149,2019-04-01,140.42,145.3,138.41,143.09
150,2019-04-02,159.53,164.5,139.62,140.45
151,2019-04-03,178.34,180.0,158.31,161.31
152,2019-04-04,157.6,179.91,151.14,178.29
153,2019-04-05,163.7,168.53,154.77,157.6
154,2019-04-06,163.7,168.53,154.77,157.6
155,2019-04-07,163.7,168.53,154.77,157.6
156,2019-04-08,181.19,187.65,166.09,169.13
157,2019-04-09,178.99,185.01,173.8,181.21
