Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,7159.33,6750.76,6720.87,6961.72,43072541
2000-01-04,6755.36,6586.95,6510.46,6747.24,46678439
2000-01-05,6585.85,6502.07,6388.91,6585.85,52682790
2000-01-06,6539.31,6474.92,6402.63,6501.45,41180558
2000-01-07,6791.53,6780.96,6470.14,6489.94,56058925
2000-01-10,6975.26,6925.52,6785.47,6785.47,42006221
2000-01-11,6943.83,6891.25,6821.26,6926.04,43890042
2000-01-12,6913.5,6912.81,6783.22,6878.92,34683123
2000-01-13,7106.45,6955.98,6898.69,6913.13,48116185
2000-01-14,7207.45,7173.22,6960.29,6960.29,47040925
2000-01-17,7297.04,7258.9,7112.97,7177.48,44872773
2000-01-18,7306.48,7072.12,7053.86,7262.21,46792739
2000-01-19,7110.19,7091.04,6987.12,7065.31,43646453
2000-01-20,7230.75,7112.66,7076.81,7095.98,46411635
2000-01-21,7103.7,6992.75,6939.94,7103.7,47471942
2000-01-24,7092.5,6931.99,6921.97,6987.59,33473063
2000-01-25,6928.08,6809.64,6809.64,6928.08,44769812
2000-01-26,6980.93,6969.37,6838.05,6838.05,40597735
2000-01-27,7169.87,7126.13,6944.65,6983.42,43804304
2000-01-28,7214.58,7066.6,7040.49,7128.01,35825251
2000-01-31,7054.24,6835.6,6816.54,7054.24,41254178
2000-02-01,7052.22,7050.46,6841.12,6841.12,48053931
2000-02-02,7172.05,7171.95,7038.71,7063.57,43122675
2000-02-03,7354.56,7354.26,7134.42,7175.87,60250514
2000-02-04,7491.79,7444.61,7338.15,7355.69,52464533
2000-02-07,7450.79,7296.32,7270.4,7450.79,38538850
2000-02-08,7570.55,7549.88,7263.19,7295.61,47193990
2000-02-09,7676.56,7629.11,7526.08,7566.68,54626898
2000-02-10,7709.27,7709.27,7496.42,7617.07,56564614
2000-02-11,7812.09,7611.55,7586.26,7724.36,85476261
2000-02-14,7660.39,7644.8,7542.3,7569.01,31358855
2000-02-15,7699.97,7396.13,7396.13,7636.41,40408362
2000-02-16,7596.9,7490.32,7342.65,7401.26,54338963
2000-02-17,7637.46,7580.53,7394.02,7478.32,48894285
2000-02-18,7658.88,7573.78,7543.5,7584.39,52728398
2000-02-21,7590.53,7590.53,7447.71,7568.34,24403983
2000-02-22,7725.5,7607.94,7540.36,7580.38,51082742
2000-02-23,7772.28,7698.97,7619.83,7619.83,42673843
2000-02-24,7813.2,7640.53,7587.08,7696.92,38686746
2000-02-25,7776.84,7738.68,7640.69,7668.7,34635713
2000-02-28,7747.37,7587.13,7492.23,7732.9,31880928
2000-02-29,7700.36,7644.55,7590.9,7590.9,32169599
2000-03-01,7769.01,7727.93,7618.6,7645.3,42756092
2000-03-02,7950.66,7945.77,7639.93,7720.9,39182714
2000-03-03,8022.48,7960.03,7874.57,7952.28,34621890
2000-03-06,8030.59,7975.78,7925.2,7960.09,21754367
2000-03-07,8136.16,8064.97,7922.32,7971.23,54968244
2000-03-08,8097.68,7987.0,7949.38,8069.98,51946284
2000-03-09,8084.92,7949.15,7877.19,7984.21,58145650
2000-03-10,8076.31,7975.95,7952.51,7952.51,43501670
2000-03-13,7991.07,7693.85,7630.31,7977.06,36691867
2000-03-14,7757.03,7650.05,7630.1,7695.79,36090802
2000-03-15,7633.2,7414.46,7411.76,7633.2,50854648
2000-03-16,7648.28,7583.96,7416.64,7416.64,64686443
2000-03-17,7834.54,7710.92,7574.52,7594.99,510195627
2000-03-20,7887.97,7872.38,7716.24,7716.24,36561274
2000-03-21,7865.48,7807.93,7735.74,7865.48,36722963
2000-03-22,7949.72,7798.62,7787.09,7827.56,42040425
2000-03-23,7873.03,7694.78,7677.08,7803.69,35765695
2000-03-24,7932.42,7932.42,7706.5,7706.5,37364163
2000-03-27,7939.92,7892.49,7832.06,7932.71,27355250
2000-03-28,8031.21,7931.93,7880.12,7891.15,36665857
2000-03-29,7963.7,7864.76,7859.44,7930.82,34020799
2000-03-30,7849.53,7644.89,7610.51,7834.56,37167250
2000-03-31,7704.28,7599.39,7522.7,7649.88,31848793
2000-04-03,7641.53,7429.22,7404.37,7599.78,33911358
2000-04-04,7566.92,7522.8,7430.18,7431.42,36855442
2000-04-05,7538.72,7330.77,7205.86,7502.09,60250644
2000-04-06,7480.13,7446.21,7325.72,7345.01,39723896
2000-04-07,7533.36,7522.2,7399.81,7470.39,32410511
2000-04-10,7614.81,7516.95,7507.93,7534.91,25443197
2000-04-11,7513.12,7442.66,7366.49,7513.12,30739327
2000-04-12,7517.75,7443.07,7414.38,7438.26,31079360
2000-04-13,7450.39,7449.06,7302.82,7421.06,29740394
2000-04-14,7440.05,7214.83,7168.9,7440.05,35422560
2000-04-17,7201.66,7187.14,6890.96,7201.66,42838876
2000-04-18,7305.03,7196.49,7094.92,7186.18,35278930
2000-04-19,7305.94,7216.71,7146.52,7204.33,36723652
2000-04-20,7242.8,7157.95,7157.95,7216.22,36197284
2000-04-25,7317.06,7280.51,7096.38,7164.15,24567338
2000-04-26,7444.28,7388.55,7293.1,7293.1,25812210
2000-04-27,7413.82,7221.74,7156.83,7386.61,31659730
2000-04-28,7436.45,7414.68,7223.27,7223.27,36743868
2000-05-02,7561.67,7555.92,7405.7,7407.53,26185070
2000-05-03,7571.72,7376.93,7362.75,7547.91,28208519
2000-05-04,7419.74,7386.71,7321.43,7388.68,27541112
2000-05-05,7530.82,7530.82,7333.48,7391.62,27822893
2000-05-08,7532.97,7408.09,7383.22,7532.97,22862967
2000-05-09,7407.95,7280.54,7225.18,7407.89,36154037
2000-05-10,7313.27,7120.86,7102.59,7273.56,35850575
2000-05-11,7277.56,7259.48,7013.7,7111.28,37107329
2000-05-12,7331.03,7269.28,7206.09,7269.87,22620902
2000-05-15,7278.03,7195.15,7188.25,7266.08,23454503
2000-05-16,7398.48,7371.06,7203.58,7203.58,32736194
2000-05-17,7378.57,7211.51,7197.83,7370.18,31268098
2000-05-18,7258.61,7181.58,7158.54,7214.5,28888223
2000-05-19,7182.46,6989.03,6958.92,7182.46,40357788
2000-05-22,7040.57,6912.96,6818.7,6983.46,34791320
2000-05-23,7017.24,6927.69,6883.39,6918.93,32116396
2000-05-24,6920.14,6834.88,6794.08,6920.14,42809514
2000-05-25,6998.31,6978.87,6846.37,6846.37,37346221
2000-05-26,6972.21,6938.33,6833.11,6969.01,32889390
2000-05-29,7029.8,7016.66,6956.14,6956.14,17218427
2000-05-30,7150.5,7119.26,7024.6,7024.6,30931399
2000-05-31,7213.98,7109.67,7101.14,7127.26,35084187
2000-06-01,7277.52,7272.76,7117.57,7117.57,17178506
2000-06-02,7460.51,7438.95,7246.17,7286.19,35535949
2000-06-05,7486.4,7408.02,7354.84,7456.22,25672638
2000-06-06,7464.76,7359.8,7298.23,7404.78,34579223
2000-06-07,7363.66,7292.98,7241.58,7363.66,28906270
2000-06-08,7390.5,7243.13,7211.97,7293.74,33310408
2000-06-09,7354.32,7254.53,7229.33,7246.46,25554417
2000-06-12,7315.05,7235.64,7224.72,7251.29,6569695
2000-06-13,7307.34,7268.91,7173.64,7222.77,25655388
2000-06-14,7374.6,7350.94,7251.23,7292.77,30086366
2000-06-15,7388.24,7328.62,7324.6,7347.75,33370348
2000-06-16,7368.57,7131.4,7131.4,7344.44,249183361
2000-06-19,7225.34,7198.8,7134.17,7134.17,56438526
2000-06-20,7270.2,7227.27,7201.88,7207.59,35733046
2000-06-21,7240.01,7100.09,7090.5,7227.05,35718503
2000-06-22,7172.86,7053.67,7028.34,7112.15,22107866
2000-06-23,7081.58,6980.41,6976.97,7056.82,30245778
2000-06-26,7085.27,7027.19,6975.07,6986.89,27780307
2000-06-27,7064.44,7048.96,6966.45,7029.55,28744309
2000-06-28,7072.64,7056.05,7010.67,7050.84,32441333
2000-06-29,7058.0,6874.54,6851.84,7055.42,36792077
2000-06-30,6935.18,6898.21,6866.85,6882.94,31070736
2000-07-03,6962.02,6958.96,6842.61,6912.97,32797808
2000-07-04,6976.08,6944.36,6881.14,6958.4,36053500
2000-07-05,7090.11,6961.73,6946.73,6946.73,37171146
2000-07-06,6978.93,6951.09,6905.24,6947.21,37202900
2000-07-07,7052.22,7052.22,6919.94,6957.01,35644746
2000-07-10,7126.04,7070.82,7031.33,7052.68,27632215
2000-07-11,7069.49,7003.98,6955.58,7068.09,27799273
2000-07-12,7100.36,7065.97,7011.68,7015.84,33775061
2000-07-13,7196.16,7195.99,7008.96,7073.81,36501887
2000-07-14,7342.22,7318.38,7173.42,7193.23,49333298
2000-07-17,7430.7,7430.7,7320.1,7320.1,36001179
2000-07-18,7449.78,7406.91,7355.31,7417.02,27086638
2000-07-19,7406.24,7366.57,7321.27,7406.24,33656484
2000-07-20,7491.8,7480.14,7303.91,7364.64,46348770
2000-07-21,7503.32,7373.26,7373.15,7481.19,34916707
2000-07-24,7428.17,7328.31,7308.45,7377.98,55092892
2000-07-25,7358.64,7329.04,7294.06,7323.24,49734100
2000-07-26,7368.34,7302.12,7250.22,7330.14,45751293
2000-07-27,7333.02,7183.44,7170.81,7291.14,36934526
2000-07-28,7222.11,7128.3,7076.37,7188.63,41480738
2000-07-31,7251.88,7190.37,7112.94,7135.39,34593174
2000-08-01,7244.55,7145.53,7094.93,7194.03,31558859
2000-08-02,7197.32,7112.45,7068.96,7151.5,35868048
2000-08-03,7113.08,7037.91,6954.6,7113.08,40296812
2000-08-04,7112.97,7016.59,7007.21,7040.25,34104907
2000-08-07,7135.28,7113.22,7020.65,7020.65,31987005
2000-08-08,7194.22,7123.81,7079.74,7110.47,46445646
2000-08-09,7268.64,7226.71,7129.7,7129.7,46119920
2000-08-10,7318.94,7280.97,7213.38,7228.7,40226222
2000-08-11,7327.22,7322.98,7225.03,7289.26,32923681
2000-08-14,7369.01,7331.67,7297.03,7323.87,24545050
2000-08-15,7380.19,7307.43,7276.04,7336.73,24001261
2000-08-16,7363.64,7315.27,7291.01,7314.57,37171706
2000-08-17,7336.23,7278.43,7214.68,7320.69,37181384
2000-08-18,7320.61,7232.42,7216.62,7286.32,35111376
