Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,17426.16,17369.63,17057.7,17057.7,
2000-01-04,17303.0,17072.82,16933.52,17303.0,
2000-01-05,16608.55,15846.72,15688.49,16608.55,
2000-01-06,15971.03,15153.23,14763.97,15942.07,
2000-01-07,15513.89,15405.63,15108.75,15329.34,
2000-01-10,16065.09,15848.15,15631.0,15631.0,
2000-01-11,16196.09,15862.1,15736.17,15981.13,
2000-01-12,15744.04,15714.2,15545.67,15691.73,
2000-01-13,15861.17,15633.96,15458.63,15763.26,
2000-01-14,15863.48,15542.23,15322.19,15741.54,
2000-01-17,15827.51,15574.56,15474.39,15666.06,
2000-01-18,15801.07,15789.2,15508.08,15575.68,
2000-01-19,15719.04,15275.34,15192.28,15719.04,
2000-01-20,15347.7,15215.31,15078.03,15347.7,
2000-01-21,15120.36,15108.41,14903.7,15094.9,
2000-01-24,15413.75,15167.55,15020.17,15233.79,
2000-01-25,15150.22,15103.04,14910.29,15093.53,
2000-01-26,15452.72,15427.72,15164.8,15164.8,
2000-01-27,15925.18,15917.81,15460.21,15460.21,
2000-01-28,16315.74,16185.94,16023.37,16052.07,
2000-01-31,15889.05,15532.34,15444.82,15889.05,
2000-02-01,15764.4,15653.86,15580.46,15600.26,
2000-02-02,15957.92,15789.82,15747.56,15747.56,
2000-02-03,16010.03,15968.12,15702.85,15795.59,
2000-02-08,16285.93,16228.73,15940.31,16079.89,
2000-02-09,16967.9,16819.46,16456.87,16456.87,
2000-02-10,16874.09,16845.17,16525.56,16679.79,
2000-02-11,17653.65,17380.3,17024.37,17024.37,
2000-02-14,17939.27,17188.96,17107.9,17546.47,
2000-02-15,17296.97,16688.16,16548.75,17257.37,
2000-02-16,17144.95,17043.39,16732.81,16771.1,
2000-02-17,17229.15,16981.23,16770.14,17075.9,
2000-02-18,17027.95,16599.16,16468.95,16985.3,
2000-02-21,16477.1,16322.37,16136.5,16412.63,
2000-02-22,16442.58,16255.17,15776.35,16294.94,
2000-02-23,16523.65,16376.79,16297.13,16313.96,
2000-02-24,17083.3,17058.66,16512.57,16512.57,
2000-02-25,17414.46,17200.98,16905.4,17279.51,
2000-02-28,17746.77,16984.44,16638.46,17434.72,
2000-02-29,17290.07,17169.44,17021.72,17140.21,
2000-03-01,17275.44,16843.59,16617.95,17267.27,
2000-03-02,17118.4,16936.81,16769.57,16996.06,
2000-03-03,17361.92,17285.24,16795.8,16903.55,
2000-03-06,17855.21,17758.76,17500.97,17500.97,
2000-03-07,17876.78,17865.36,17471.74,17656.47,
2000-03-08,18058.97,17951.43,17323.76,17687.58,
2000-03-09,18249.86,17637.03,17613.8,18031.78,
2000-03-10,18001.54,17831.86,17574.06,17727.96,
2000-03-13,17786.28,17096.68,16892.65,17650.62,
2000-03-14,17220.26,16929.16,16837.02,17125.9,
2000-03-15,16901.31,16747.2,16553.17,16847.3,
2000-03-16,16826.25,16359.0,16315.04,16775.23,
2000-03-17,17096.0,17082.99,16617.18,16688.04,
2000-03-20,17325.15,17234.46,16708.72,16878.81,
2000-03-21,17345.71,17199.98,16896.7,17253.04,
2000-03-22,17560.69,17547.04,17274.56,17418.91,
2000-03-23,17856.36,17710.58,17391.97,17705.26,
2000-03-24,17879.37,17784.57,17577.71,17768.06,
2000-03-27,18350.61,18292.86,17815.68,17827.71,
2000-03-28,18397.57,18301.69,18188.27,18272.8,
2000-03-29,18249.27,18096.37,17950.2,18203.13,
2000-03-30,18038.47,17467.15,17456.56,18011.14,
2000-03-31,17537.13,17406.54,17107.44,17383.63,
2000-04-03,17458.06,16892.93,16872.82,17444.48,
2000-04-05,16736.22,16318.44,16246.53,16599.07,
2000-04-06,16528.58,16491.39,16283.2,16416.48,
2000-04-07,16992.53,16941.68,16657.84,16657.84,
2000-04-10,17083.27,16850.74,16676.07,17038.22,
2000-04-11,16683.4,16487.66,16422.27,16683.4,
2000-04-12,16762.86,16577.09,16267.72,16391.12,
2000-04-13,16470.38,16352.56,16043.85,16345.26,
2000-04-14,16270.77,16142.76,15906.29,16254.26,
2000-04-17,15306.05,14762.37,14624.33,15306.05,
2000-04-18,15409.67,15278.32,15158.15,15158.15,
2000-04-19,15667.16,15427.2,15338.1,15558.52,
2000-04-20,15453.65,15367.14,15213.02,15425.82,
2000-04-25,15531.21,15380.01,15212.92,15335.89,
2000-04-26,15629.52,15227.39,15140.35,15581.45,
2000-04-27,15253.52,15192.87,15068.66,15225.17,
2000-04-28,15541.37,15519.3,15291.06,15291.06,
2000-05-02,15912.27,15817.76,15654.42,15751.03,
2000-05-03,15695.09,15577.47,15511.74,15695.09,
2000-05-04,15438.96,15314.07,15171.11,15438.96,
2000-05-05,15328.98,15268.64,15173.2,15298.57,
2000-05-08,15443.33,14901.0,14827.36,15337.66,
2000-05-09,14854.64,14776.9,14644.61,14854.64,
2000-05-10,14681.06,14492.92,14380.78,14652.66,
2000-05-12,15168.48,15111.94,14288.33,14438.67,
2000-05-15,15165.69,14881.3,14835.8,15117.75,
2000-05-16,15184.33,15160.29,14806.26,14961.52,
2000-05-17,15293.26,14827.81,14721.4,15293.26,
2000-05-18,14688.74,14322.6,14210.49,14688.74,
2000-05-19,14699.42,14478.26,14166.36,14338.75,
2000-05-22,14278.51,14140.73,13981.44,14278.51,
2000-05-23,14311.7,14257.18,13980.94,14117.13,
2000-05-24,14115.54,13933.98,13878.63,14115.54,
2000-05-25,14250.71,13921.06,13852.86,14082.05,
2000-05-26,13845.44,13722.7,13596.63,13845.44,
2000-05-29,14024.15,13975.07,13606.19,13735.07,
2000-05-30,14181.49,13990.9,13734.6,14044.04,
2000-05-31,14913.25,14713.86,14438.39,14438.39,
2000-06-01,15002.53,14941.19,14652.9,14652.9,
2000-06-02,15344.13,15284.1,15142.95,15165.58,
2000-06-05,15971.24,15861.68,15643.79,15643.79,
2000-06-07,16033.87,15900.06,15668.12,15782.87,
2000-06-08,15980.94,15876.93,15786.36,15912.21,
2000-06-09,16154.8,16120.26,15723.33,15841.19,
2000-06-12,16250.64,16055.05,16047.52,16125.75,
2000-06-13,15947.87,15692.94,15657.82,15947.87,
2000-06-14,15887.78,15857.07,15621.3,15761.43,
2000-06-15,16222.51,16080.34,15894.7,15941.82,
2000-06-16,16483.91,16434.38,16002.28,16088.74,
2000-06-19,16364.21,16267.47,16168.79,16332.69,
2000-06-20,16525.02,16086.74,15968.66,16467.14,
2000-06-21,16338.91,16238.14,15935.53,16071.19,
2000-06-22,16266.46,15952.36,15860.97,16227.47,
2000-06-23,15904.39,15738.08,15667.35,15827.28,
2000-06-26,16048.69,15978.91,15644.61,15726.12,
2000-06-27,16274.23,16155.77,16031.58,16147.14,
2000-06-28,16511.24,16438.42,16132.53,16202.16,
2000-06-29,16534.48,16286.8,16226.56,16474.4,
2000-06-30,16310.05,16155.78,16015.52,16142.35,
2000-07-03,16179.9,16124.97,15928.92,16177.06,
2000-07-04,16242.3,16235.76,16086.26,16131.77,
2000-07-05,16540.64,16474.27,16275.33,16275.33,
2000-07-06,16681.34,16489.59,16365.66,16396.08,
2000-07-07,16861.58,16829.96,16565.39,16631.86,
2000-07-10,17274.02,17238.67,17024.46,17024.46,
2000-07-11,17380.59,17359.66,17126.45,17259.95,
2000-07-12,17667.49,17552.26,17451.62,17466.98,
2000-07-13,17834.95,17449.5,17413.27,17808.7,
2000-07-14,17643.81,17586.16,17372.63,17508.62,
2000-07-17,17913.48,17834.78,17729.99,17736.62,
2000-07-18,17766.46,17440.83,17404.05,17766.46,
2000-07-19,17730.57,17710.07,17388.63,17462.12,
2000-07-20,17818.56,17758.51,17518.69,17702.69,
2000-07-21,18125.57,17920.86,17765.49,18022.81,
2000-07-24,18028.65,17659.69,17638.55,17866.28,
2000-07-25,17574.32,17375.34,17306.89,17574.32,
2000-07-26,17730.09,17620.23,17476.42,17476.42,
2000-07-27,17463.29,17450.09,17285.87,17442.11,
