Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,3836.86,3790.55,3643.25,3755.74,
2000-01-04,3766.57,3546.2,3542.73,3766.57,
2000-01-05,3576.17,3507.31,3371.75,3543.13,
2000-01-06,3513.55,3340.81,3334.02,3488.31,
2000-01-07,3529.75,3529.6,3314.75,3337.26,
2000-01-10,3756.17,3717.41,3558.21,3558.21,
2000-01-11,3717.17,3544.35,3517.79,3715.22,
2000-01-12,3572.62,3478.14,3447.9,3548.77,
2000-01-13,3612.43,3612.08,3494.39,3495.83,
2000-01-14,3744.89,3704.74,3653.3,3653.3,
2000-01-18,3779.56,3757.78,3665.87,3704.74,
2000-01-19,3803.72,3790.89,3711.96,3741.45,
2000-01-20,3877.43,3841.74,3782.43,3798.84,
2000-01-21,3891.81,3849.96,3806.58,3841.74,
2000-01-24,3905.1,3660.96,3660.86,3888.33,
2000-01-25,3759.33,3759.11,3591.34,3667.02,
2000-01-26,3762.69,3621.21,3621.1,3762.69,
2000-01-27,3701.3,3593.15,3512.07,3628.88,
2000-01-28,3617.6,3446.13,3409.59,3595.89,
2000-01-31,3570.59,3570.05,3349.06,3438.09,
2000-02-01,3703.59,3701.78,3544.93,3580.29,
2000-02-02,3785.36,3724.46,3693.95,3700.2,
2000-02-03,3857.34,3851.16,3704.23,3726.13,
2000-02-04,3929.81,3874.37,3856.83,3858.6,
2000-02-07,3933.75,3933.34,3858.89,3873.43,
2000-02-08,4063.79,4062.77,3932.24,3932.24,
2000-02-09,4087.84,3968.46,3966.33,4061.74,
2000-02-10,4090.07,4090.0,3956.9,3974.83,
2000-02-11,4090.0,3968.89,3933.78,4090.0,
2000-02-14,4005.59,3986.13,3918.87,3969.95,
2000-02-15,4024.13,3997.03,3848.37,3983.85,
2000-02-16,4063.58,3997.97,3982.55,3997.03,
2000-02-17,4127.35,4125.38,3993.57,4012.29,
2000-02-18,4135.6,3965.75,3959.83,4130.55,
2000-02-22,4001.07,3969.13,3856.02,3970.53,
2000-02-23,4198.16,4170.09,3966.0,3966.0,
2000-02-24,4253.75,4253.05,4099.39,4169.66,
2000-02-25,4297.46,4178.58,4169.34,4254.56,
2000-02-28,4224.95,4162.13,4024.08,4178.58,
2000-02-29,4269.76,4266.94,4174.75,4174.75,
2000-03-01,4346.41,4309.01,4269.66,4275.72,
2000-03-02,4337.65,4234.26,4197.98,4311.97,
2000-03-03,4442.87,4442.87,4257.53,4257.53,
2000-03-06,4548.55,4457.18,4436.6,4448.48,
2000-03-07,4560.96,4390.83,4355.61,4489.49,
2000-03-08,4470.28,4445.68,4266.87,4409.98,
2000-03-09,4587.55,4586.26,4379.6,4446.48,
2000-03-10,4659.72,4587.16,4549.07,4586.26,
2000-03-13,4585.16,4426.8,4387.74,4585.16,
2000-03-14,4537.99,4226.99,4226.79,4448.63,
2000-03-15,4341.54,4130.01,4094.04,4250.74,
2000-03-16,4353.59,4353.33,4049.98,4141.23,
2000-03-17,4441.0,4440.45,4326.76,4349.26,
2000-03-20,4460.37,4261.15,4260.92,4443.35,
2000-03-21,4450.41,4449.33,4155.34,4259.58,
2000-03-22,4639.12,4596.81,4449.22,4449.22,
2000-03-23,4704.21,4660.62,4547.0,4594.37,
2000-03-24,4816.35,4691.61,4608.92,4659.76,
2000-03-27,4781.19,4704.73,4687.6,4687.6,
2000-03-28,4714.35,4583.39,4582.45,4705.75,
2000-03-29,4615.09,4413.92,4408.6,4583.81,
2000-03-30,4491.08,4250.19,4151.12,4376.41,
2000-03-31,4424.43,4397.84,4171.09,4268.64,
2000-04-03,4355.7,4077.02,4041.24,4355.7,
2000-04-04,4146.5,4034.17,3525.44,4089.78,
2000-04-05,4156.43,4030.26,3884.32,4028.4,
2000-04-06,4161.42,4086.73,4005.31,4036.39,
2000-04-07,4292.88,4291.53,4111.18,4111.18,
2000-04-10,4308.62,3998.26,3998.1,4293.63,
2000-04-11,4049.55,3909.21,3829.39,3987.24,
2000-04-12,3943.68,3633.63,3632.41,3909.0,
2000-04-13,3831.7,3553.81,3552.51,3645.79,
2000-04-14,3536.41,3205.7,3138.42,3536.41,
2000-04-17,3530.67,3529.45,3107.42,3194.5,
2000-04-18,3717.66,3715.81,3511.81,3531.07,
2000-04-19,3753.45,3583.07,3578.9,3720.24,
2000-04-20,3632.24,3505.29,3453.3,3587.27,
2000-04-24,3448.23,3353.53,3200.9,3448.23,
2000-04-25,3622.29,3621.56,3371.21,3371.21,
2000-04-26,3690.29,3505.71,3505.11,3622.8,
2000-04-27,3692.92,3692.57,3390.6,3504.2,
2000-04-28,3790.78,3773.18,3696.42,3696.42,
2000-05-01,3871.93,3829.29,3777.05,3789.2,
2000-05-02,3829.29,3627.31,3626.54,3768.04,
2000-05-03,3627.31,3562.16,3435.3,3627.31,
2000-05-04,3627.35,3570.73,3518.12,3561.72,
2000-05-05,3692.4,3688.36,3534.07,3571.27,
2000-05-08,3688.36,3521.6,3521.05,3688.36,
2000-05-09,3567.96,3444.64,3401.82,3525.23,
2000-05-10,3436.68,3244.73,3234.96,3436.68,
2000-05-11,3381.7,3381.57,3237.86,3311.51,
2000-05-12,3504.81,3406.25,3381.57,3381.57,
2000-05-15,3512.21,3512.11,3314.44,3404.56,
2000-05-16,3653.76,3646.89,3520.98,3520.98,
2000-05-17,3635.03,3550.5,3527.67,3635.03,
2000-05-18,3575.78,3426.35,3426.35,3547.52,
2000-05-19,3425.38,3260.64,3259.18,3425.38,
2000-05-22,3269.54,3264.71,3029.14,3261.47,
2000-05-23,3298.46,3023.42,3022.52,3262.77,
2000-05-24,3185.74,3180.31,2897.27,3023.49,
2000-05-25,3290.53,3099.28,3078.18,3181.5,
2000-05-26,3170.72,3101.44,3033.5,3100.97,
2000-05-30,3415.71,3414.03,3101.43,3101.43,
2000-05-31,3458.34,3324.08,3322.22,3414.03,
2000-06-01,3526.53,3518.98,3331.8,3331.8,
2000-06-02,3759.81,3755.67,3518.98,3518.98,
2000-06-05,3817.25,3730.31,3688.89,3742.28,
2000-06-06,3801.31,3646.32,3637.8,3730.31,
2000-06-07,3736.15,3736.01,3599.53,3644.46,
2000-06-08,3791.42,3707.31,3671.44,3737.93,
2000-06-09,3785.02,3760.26,3707.31,3707.31,
2000-06-12,3779.74,3638.42,3638.31,3761.15,
2000-06-13,3766.52,3765.81,3582.52,3638.54,
2000-06-14,3793.72,3677.49,3670.71,3767.54,
2000-06-15,3755.72,3752.01,3639.18,3680.67,
2000-06-16,3817.85,3787.36,3732.83,3758.36,
2000-06-19,3935.33,3933.7,3730.77,3787.36,
2000-06-20,3990.21,3933.83,3898.28,3933.7,
2000-06-21,3981.26,3970.0,3867.92,3928.98,
2000-06-22,3968.85,3804.11,3804.0,3968.85,
2000-06-23,3821.95,3685.3,3669.4,3809.4,
2000-06-26,3840.54,3771.45,3685.3,3685.3,
2000-06-27,3804.94,3699.0,3698.5,3771.45,
2000-06-28,3817.5,3771.06,3701.11,3701.11,
2000-06-29,3764.83,3665.83,3634.03,3764.83,
2000-06-30,3764.96,3763.79,3666.18,3666.18,
2000-07-03,3811.59,3804.78,3744.63,3763.79,
2000-07-05,3804.96,3649.8,3646.46,3804.96,
2000-07-06,3793.9,3793.48,3610.27,3648.13,
2000-07-07,3884.84,3841.27,3781.56,3793.01,
2000-07-10,3841.51,3772.2,3767.56,3841.51,
2000-07-11,3835.02,3744.53,3720.02,3772.61,
2000-07-12,3909.41,3901.12,3792.98,3810.36,
2000-07-13,3991.87,3956.67,3900.23,3901.12,
