Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-01-03,4192.19,4131.15,3989.71,4186.19,
2000-01-04,4073.25,3901.69,3898.23,4020.0,
2000-01-05,3924.21,3877.54,3734.87,3854.35,
2000-01-06,3868.76,3727.13,3715.62,3834.44,
2000-01-07,3882.67,3882.62,3711.09,3711.09,
2000-01-10,4072.36,4049.67,3882.63,4002.23,
2000-01-11,4066.66,3921.19,3904.82,4031.38,
2000-01-12,3950.98,3850.02,3834.53,3950.95,
2000-01-13,3957.47,3957.21,3858.22,3915.14,
2000-01-14,4091.95,4064.27,4045.72,4045.72,
2000-01-18,4148.0,4130.81,4053.21,4059.65,
2000-01-19,4164.65,4151.29,4084.73,4116.27,
2000-01-20,4227.35,4189.51,4143.61,4205.06,
2000-01-21,4238.0,4235.4,4168.3,4236.65,
2000-01-24,4303.15,4096.08,4095.31,4290.38,
2000-01-25,4167.63,4167.41,4028.51,4124.75,
2000-01-26,4174.72,4069.91,4069.91,4174.72,
2000-01-27,4140.09,4039.56,3973.59,4120.5,
2000-01-28,4048.31,3887.07,3856.23,4010.14,
2000-01-31,3940.46,3940.35,3748.03,3873.84,
2000-02-01,4053.16,4051.98,3911.84,3961.07,
2000-02-02,4125.75,4073.96,4051.44,4059.03,
2000-02-03,4211.06,4210.98,4085.53,4134.65,
2000-02-04,4294.84,4244.14,4210.99,4242.15,
2000-02-07,4321.96,4321.77,4244.15,4274.03,
2000-02-08,4428.48,4427.5,4370.01,4370.01,
2000-02-09,4460.76,4363.24,4362.74,4460.18,
2000-02-10,4485.67,4485.63,4357.69,4390.16,
2000-02-11,4489.79,4395.45,4360.54,4489.33,
2000-02-14,4435.96,4418.55,4355.54,4434.38,
2000-02-15,4440.62,4420.77,4291.1,4415.52,
2000-02-16,4477.64,4427.65,4413.66,4427.19,
2000-02-17,4553.14,4548.92,4444.75,4483.01,
2000-02-18,4564.45,4411.74,4404.61,4563.72,
2000-02-22,4443.94,4382.12,4291.01,4432.83,
2000-02-23,4567.97,4550.33,4382.12,4406.88,
2000-02-24,4620.03,4617.65,4495.2,4583.89,
2000-02-25,4662.93,4590.5,4576.19,4618.83,
2000-02-28,4626.72,4577.85,4466.42,4575.07,
2000-02-29,4698.46,4696.69,4637.17,4646.64,
2000-03-01,4796.9,4784.08,4696.69,4732.82,
2000-03-02,4829.01,4754.51,4705.45,4816.81,
2000-03-03,4914.79,4914.79,4813.82,4846.01,
2000-03-06,4980.15,4904.85,4887.88,4935.65,
2000-03-07,5006.78,4847.84,4829.88,4991.97,
2000-03-08,4923.14,4897.26,4722.14,4920.86,
2000-03-09,5047.96,5046.86,4857.57,4913.08,
2000-03-10,5132.52,5048.62,5039.35,5060.34,
2000-03-13,5027.73,4907.24,4839.26,4879.03,
2000-03-14,5013.49,4706.63,4706.61,4997.31,
2000-03-15,4758.44,4582.62,4553.92,4758.44,
2000-03-16,4717.76,4717.39,4455.1,4658.44,
2000-03-17,4805.94,4798.13,4702.03,4702.03,
2000-03-20,4822.7,4610.0,4610.0,4812.14,
2000-03-21,4712.24,4711.68,4467.53,4589.52,
2000-03-22,4900.42,4864.75,4736.9,4750.54,
2000-03-23,4975.66,4940.61,4864.75,4874.17,
2000-03-24,5078.86,4963.03,4902.83,4986.54,
2000-03-27,5022.23,4958.56,4946.61,4994.42,
2000-03-28,4952.93,4833.89,4833.89,4939.05,
2000-03-29,4860.02,4644.67,4641.01,4860.02,
2000-03-30,4683.88,4457.89,4355.69,4540.44,
2000-03-31,4606.48,4572.83,4381.38,4550.21,
2000-04-03,4572.84,4223.68,4193.1,4494.89,
2000-04-04,4283.45,4148.89,3649.11,4283.45,
2000-04-05,4286.88,4169.22,4009.09,4025.9,
2000-04-06,4324.09,4267.56,4196.51,4266.8,
2000-04-07,4446.45,4446.45,4323.18,4354.13,
2000-04-10,4475.2,4188.2,4188.17,4475.2,
2000-04-11,4182.96,4055.9,4009.52,4094.61,
2000-04-12,4077.92,3769.63,3769.17,4050.32,
2000-04-13,3914.68,3676.78,3676.67,3839.56,
2000-04-14,3615.64,3321.29,3265.98,3597.44,
2000-04-17,3539.77,3539.16,3227.04,3232.94,
2000-04-18,3794.97,3793.57,3563.83,3596.15,
2000-04-19,3851.56,3706.41,3698.33,3832.65,
2000-04-20,3751.33,3643.88,3599.68,3735.08,
2000-04-24,3496.82,3482.48,3345.25,3466.69,
2000-04-25,3711.57,3711.23,3583.92,3592.73,
2000-04-26,3777.08,3630.09,3629.36,3728.99,
2000-04-27,3774.11,3774.03,3513.76,3519.13,
2000-04-28,3873.85,3860.66,3774.03,3830.61,
2000-05-01,3982.38,3958.08,3899.71,3930.18,
2000-05-02,3948.63,3785.45,3784.54,3927.92,
2000-05-03,3787.43,3707.31,3592.79,3755.3,
2000-05-04,3762.47,3720.24,3679.43,3723.27,
2000-05-05,3818.4,3816.82,3694.28,3694.28,
2000-05-08,3765.22,3669.38,3669.11,3758.46,
2000-05-09,3708.74,3585.01,3540.82,3704.85,
2000-05-10,3584.83,3384.73,3367.06,3525.02,
2000-05-11,3502.53,3499.58,3384.73,3450.06,
2000-05-12,3619.69,3529.06,3523.2,3546.24,
2000-05-15,3607.77,3607.65,3445.13,3533.21,
2000-05-16,3729.12,3717.57,3626.99,3674.89,
2000-05-17,3717.57,3644.96,3616.27,3649.54,
2000-05-18,3663.84,3538.71,3538.71,3660.24,
2000-05-19,3538.71,3390.4,3381.73,3480.63,
2000-05-22,3390.95,3364.21,3172.65,3390.95,
2000-05-23,3389.6,3164.55,3163.97,3346.66,
2000-05-24,3276.19,3270.61,3042.66,3155.14,
2000-05-25,3367.71,3205.35,3196.36,3308.51,
2000-05-26,3256.63,3205.11,3150.78,3215.28,
2000-05-30,3460.24,3459.48,3286.54,3286.54,
2000-05-31,3501.51,3400.91,3399.62,3428.25,
2000-06-01,3583.27,3582.5,3400.91,3471.95,
2000-06-02,3814.5,3813.38,3728.95,3728.95,
2000-06-05,3875.66,3821.76,3765.6,3773.24,
2000-06-06,3884.01,3756.37,3749.18,3825.98,
2000-06-07,3839.37,3839.26,3725.87,3766.55,
2000-06-08,3890.02,3825.56,3797.41,3886.04,
