Date,HIGH,CLOSE,LOW,OPEN
2000-01-03,1478.0,1455.22,1438.36,1469.25
2000-01-04,1455.22,1399.42,1397.43,1455.22
2000-01-05,1413.27,1402.11,1377.68,1399.42
2000-01-06,1411.9,1403.45,1392.02,1402.11
2000-01-07,1441.47,1441.47,1400.53,1403.45
2000-01-10,1464.36,1457.6,1441.47,1441.47
2000-01-11,1458.85,1438.56,1434.42,1457.6
2000-01-12,1445.29,1432.25,1427.32,1439.07
2000-01-13,1454.6,1449.68,1432.25,1432.25
2000-01-14,1473.0,1465.15,1449.68,1449.68
2000-01-18,1465.15,1455.14,1451.25,1465.15
2000-01-19,1462.23,1455.9,1448.65,1455.14
2000-01-20,1465.56,1445.57,1438.56,1455.9
2000-01-21,1452.75,1441.36,1439.54,1445.57
2000-01-24,1454.25,1401.53,1395.42,1441.36
2000-01-25,1414.26,1410.03,1388.49,1401.53
2000-01-26,1412.53,1404.09,1400.14,1410.03
2000-01-27,1418.95,1398.56,1380.54,1404.09
2000-01-28,1398.56,1360.16,1356.14,1398.56
2000-01-31,1394.5,1394.46,1350.05,1360.16
2000-02-01,1412.59,1409.28,1384.75,1394.46
2000-02-02,1420.53,1409.12,1403.2,1409.28
2000-02-03,1425.78,1424.97,1398.52,1409.12
2000-02-04,1436.01,1424.37,1420.53,1424.97
2000-02-07,1427.23,1424.24,1413.33,1424.37
2000-02-08,1442.02,1441.72,1424.24,1424.24
2000-02-09,1444.38,1411.7,1411.64,1443.29
2000-02-10,1422.01,1416.83,1406.37,1411.7
2000-02-11,1416.83,1387.12,1379.15,1416.83
2000-02-14,1394.93,1389.94,1380.53,1387.12
2000-02-15,1407.81,1402.05,1376.21,1389.94
2000-02-16,1404.72,1387.67,1385.58,1402.05
2000-02-17,1399.83,1388.26,1380.07,1387.67
2000-02-18,1388.26,1346.09,1345.29,1388.26
2000-02-22,1358.11,1352.17,1331.97,1346.09
2000-02-23,1370.12,1360.69,1342.42,1352.17
2000-02-24,1364.49,1353.43,1329.9,1360.69
2000-02-25,1362.12,1333.36,1329.12,1353.43
2000-02-28,1360.82,1348.05,1325.02,1333.36
2000-02-29,1369.51,1366.42,1348.05,1348.05
2000-03-01,1383.0,1379.19,1366.42,1366.42
2000-03-02,1386.91,1381.76,1370.32,1379.19
2000-03-03,1410.88,1409.17,1381.76,1381.76
2000-03-06,1409.81,1391.28,1384.79,1409.17
2000-03-07,1399.57,1355.62,1349.6,1391.28
2000-03-08,1373.59,1366.7,1346.5,1355.62
2000-03-09,1401.82,1401.69,1357.85,1366.7
2000-03-10,1413.38,1395.07,1392.07,1401.69
2000-03-13,1398.45,1383.62,1365.31,1395.07
2000-03-14,1395.33,1359.15,1359.14,1383.62
2000-03-15,1397.99,1392.15,1356.99,1359.15
2000-03-16,1458.47,1458.47,1392.15,1392.15
2000-03-17,1476.64,1464.47,1453.2,1458.47
2000-03-20,1470.23,1456.63,1448.43,1464.47
2000-03-21,1493.93,1493.87,1446.04,1456.63
2000-03-22,1505.04,1500.64,1487.4,1493.87
2000-03-23,1532.13,1527.35,1493.76,1500.64
2000-03-24,1553.11,1527.46,1516.85,1527.35
2000-03-27,1534.66,1523.86,1518.62,1527.46
2000-03-28,1527.2,1507.73,1507.2,1523.86
2000-03-29,1521.36,1508.52,1497.32,1507.73
2000-03-30,1517.43,1487.92,1474.63,1508.52
2000-03-31,1519.77,1498.58,1484.53,1487.92
2000-04-03,1507.08,1505.97,1487.09,1498.58
2000-04-04,1526.22,1494.73,1417.22,1505.98
2000-04-05,1506.55,1487.37,1478.06,1494.73
2000-04-06,1511.76,1501.34,1487.37,1487.37
2000-04-07,1518.68,1516.35,1501.34,1501.34
2000-04-10,1527.11,1504.46,1503.02,1516.35
2000-04-11,1512.8,1500.59,1486.78,1504.46
2000-04-12,1510.59,1467.17,1466.15,1500.59
2000-04-13,1477.36,1440.51,1440.34,1467.17
2000-04-14,1440.51,1356.56,1339.4,1440.51
2000-04-17,1401.48,1401.44,1346.68,1356.56
2000-04-18,1441.61,1441.61,1397.61,1401.44
