TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
10.0,20.0,0.2,0.1,0.9,0.4,4.908162205899251e-9,1.051491481339496e-11,0.01701608487569093,1.2629197342670892e-9,5.391789072492651e-12,0.0028941232563055906,2.5145393013459007e-9,1.3887653339567764e-11,0.004885851572193792,1.1307031702862612e-9,2.1960578968646985e-11,0.009236110047191548
10.0,40.0,0.2,0.1,0.9,0.4,4.870853677793637e-9,1.0434987545634296e-11,0.016902186493849756,1.1143460576358504e-9,4.757482786523289e-12,0.00271580467829883,2.789038608822294e-9,1.5403696943317815e-11,0.005159793772721379,9.674690113354915e-10,1.87902361835361e-11,0.009026588042829548
10.0,60.0,0.2,0.1,0.9,0.4,4.639587539027483e-9,9.93953860846875e-12,0.0173676864152388,9.301454432447554e-10,3.971074250119583e-12,0.002476794010880425,2.701220242874805e-9,1.4918681249797636e-11,0.005046260537215942,1.0082218529079225e-9,1.9581740106994237e-11,0.009844631867142429
10.0,80.0,0.2,0.1,0.9,0.4,4.591753314819193e-9,9.837061801139425e-12,0.01709337846334556,7.929782512613536e-10,3.3854657219023836e-12,0.002264665584675927,2.822731283212312e-9,1.5589779611328232e-11,0.005165602855959046,9.760437803455278e-10,1.895677581739521e-11,0.00966311002271059
10.0,100.0,0.2,0.1,0.9,0.4,4.735481280083513e-9,1.0144974874843563e-11,0.017553526935486414,7.22367536247726e-10,3.0840070691620236e-12,0.0021428922997985067,3.0646898670797664e-9,1.6926102703787113e-11,0.005417309862346852,9.484238767560212e-10,1.8420340535507557e-11,0.009993324773341057
10.0,120.0,0.2,0.1,0.9,0.4,4.79083380863864e-9,1.0263558389007708e-11,0.017520778027511834,6.55531258460541e-10,2.7986626387591216e-12,0.0020430598787759195,3.1389227566500993e-9,1.733608660668153e-11,0.005464701109178415,9.963797935279989e-10,1.9351742980428846e-11,0.010013017039557502
10.0,140.0,0.2,0.1,0.9,0.4,5.18987447644574e-9,1.1118436132051481e-11,0.017866257760903025,6.63030057637912e-10,2.8306772968282897e-12,0.0020357430801354933,3.439652942054048e-9,1.899700181345462e-11,0.005729394705764192,1.087191476753781e-9,2.111549247115562e-11,0.010101119975003332
10.0,160.0,0.2,0.1,0.9,0.4,4.792624266908821e-9,1.026739414573255e-11,0.017107406000468915,6.362941182507358e-10,2.716533426937572e-12,0.002000170803272657,3.235958280347923e-9,1.7872008122808757e-11,0.005577904824351252,9.203718683101618e-10,1.787551288940793e-11,0.009529330372845007
10.0,180.0,0.2,0.1,0.9,0.4,4.448860688077472e-9,9.530938300199393e-12,0.01750474656899922,5.037514597886729e-10,2.1506684411080448e-12,0.0017723385290510396,2.952323551116304e-9,1.6305510119567154e-11,0.0053030105035768525,9.927856771724947e-10,1.9281937855510363e-11,0.010429397536371324
10.0,200.0,0.2,0.1,0.9,0.4,4.16584999226645e-9,8.9246353230574e-12,0.017207877939817474,4.738332573086546e-10,2.0229385206519366e-12,0.0017234663291052926,2.7329888928142785e-9,1.5094137643415877e-11,0.005076437060826119,9.590278421435178e-10,1.862629133266855e-11,0.010407974549886068
10.0,220.0,0.2,0.1,0.9,0.4,4.0322229326746095e-9,8.638361746629168e-12,0.017442741600729842,4.178634045518877e-10,1.7839861689745044e-12,0.0016107452652543838,2.61669262546642e-9,1.4451840167791501e-11,0.004974171684793308,9.976669026563032e-10,1.9376741284489706e-11,0.01085782465068215
10.0,240.0,0.2,0.1,0.9,0.4,4.275313954430871e-9,9.159143513498242e-12,0.016702241243674025,4.679184664468343e-10,1.9976864766229075e-12,0.0017008455271660542,2.8897449416336504e-9,1.595989212325979e-11,0.005253697629869554,9.176505463503867e-10,1.782265922509776e-11,0.009747698086638409
10.0,260.0,0.2,0.1,0.9,0.4,4.042663528761307e-9,8.660728973678172e-12,0.016709556227248144,4.04517773234028e-10,1.7270096033601344e-12,0.0015678998416792022,2.70337843614524e-9,1.49306008248719e-11,0.005093963403882754,9.347673193820393e-10,1.8155102129414418e-11,0.010047692981686188
