TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
10.0,20.0,0.2,0.1,0.9,0.4,7.420944961005635e-9,1.5898144497727696e-11,0.02120828807694946,2.138905124569282e-9,9.131632781056704e-12,0.0036727657036776133,3.229551849352917e-9,1.783666268861627e-11,0.0052749359812393065,2.052487987083435e-9,3.986365332768086e-11,0.012260586392032542
10.0,40.0,0.2,0.1,0.9,0.4,8.08050409031702e-9,1.7311140605054557e-11,0.021358012861430173,1.802807357240144e-9,7.696729776464218e-12,0.003314113679196568,4.4278493356946756e-9,2.4454803242321016e-11,0.006231266844043963,1.8498473973821987e-9,3.5927944924609694e-11,0.011812632338189638
10.0,60.0,0.2,0.1,0.9,0.4,7.716722234002495e-9,1.6531798277665003e-11,0.02120759194674179,1.704939522494409e-9,7.278902394730697e-12,0.003196363272295828,4.112009723482103e-9,2.2710435946323654e-11,0.00594622236891625,1.899772988025983e-9,3.689760538066508e-11,0.012065006305529709
10.0,80.0,0.2,0.1,0.9,0.4,8.10830795258998e-9,1.7370705771260906e-11,0.02166548528825795,1.6211802447285676e-9,6.921308709167756e-12,0.0030948511910740494,4.6386476676137776e-9,2.5619032496766133e-11,0.006396990104412104,1.8484800402476368e-9,3.5901387960023136e-11,0.012173643992771802
10.0,100.0,0.2,0.1,0.9,0.4,7.966245657588687e-9,1.7066360852186972e-11,0.021600002757333845,1.4898615890958847e-9,6.360669657549615e-12,0.002925179944962187,4.560277894779703e-9,2.5186199934159977e-11,0.0063192147750671,1.916106173713101e-9,3.7214830356433686e-11,0.012355608037304565
10.0,120.0,0.2,0.1,0.9,0.4,7.82765202960855e-9,1.6769446977246447e-11,0.02214439669950842,1.4621942691446972e-9,6.242549502088711e-12,0.0028929085375532016,4.386342727248773e-9,2.422556419965125e-11,0.006186747786787409,1.9791150332150795e-9,3.8438595536822693e-11,0.01306474037516781
10.0,140.0,0.2,0.1,0.9,0.4,7.744480757475835e-9,1.659126631300843e-11,0.02152697208691529,1.406435490871481e-9,6.004498416202466e-12,0.0028224050340544212,4.430870889411498e-9,2.4471491141124465e-11,0.006196500365299771,1.9071743771928553e-9,3.704135599638035e-11,0.012508066687561095
10.0,160.0,0.2,0.1,0.9,0.4,7.340502741999169e-9,1.5725810377450196e-11,0.021649109542031596,1.3806051671480895e-9,5.8942209531451326e-12,0.0027461508218298604,4.0523607089311895e-9,2.238099724959978e-11,0.005914615377734829,1.9075368659198883e-9,3.7048396293347044e-11,0.012988343342466905
10.0,180.0,0.2,0.1,0.9,0.4,7.416485075467298e-9,1.5888589932223654e-11,0.021186966203103653,1.3494331038248363e-9,5.761137988395532e-12,0.002707532526813364,4.108415339926513e-9,2.2690584335312233e-11,0.00592461133516977,1.958636631715947e-9,3.80408617117266e-11,0.012554822341120516
10.0,200.0,0.2,0.1,0.9,0.4,7.508515987592872e-9,1.608575090658989e-11,0.02112724353023505,1.3377642783577226e-9,5.71132024382709e-12,0.0026809656297934665,4.136481459559901e-9,2.284559219158164e-11,0.005969322344987663,2.0342702496752496e-9,3.9509826375696313e-11,0.012476955555453922
