TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
10.0,20.0,0.2,0.1,0.9,0.4,7.974308333656707e-9,1.708359651427374e-11,0.02156152096589507,1.972198747625753e-9,8.41991145468676e-12,0.00333881728103692,3.856253428426532e-9,2.1297840548028592e-11,0.005711309488539149,2.1458561576044214e-9,4.1676717444216374e-11,0.012511394196319003
10.0,40.0,0.2,0.1,0.9,0.4,8.191191275215942e-9,1.754823125241005e-11,0.021574028701506355,1.8318914463286054e-9,7.820897255539618e-12,0.0031958329764610193,4.437026361420493e-9,2.4505412236739746e-11,0.0062190617857925444,1.92227346746684e-9,3.733430494407734e-11,0.012159133939252793
10.0,60.0,0.2,0.1,0.9,0.4,8.476796869745745e-9,1.816009256188227e-11,0.0217080170213058,1.7919232899882678e-9,7.650261137958744e-12,0.0031567405347702436,4.820809866335662e-9,2.6625023938707674e-11,0.0065295726390476715,1.8640637134218142e-9,3.620375783669798e-11,0.012021703847487887
10.0,80.0,0.2,0.1,0.9,0.4,8.363231096893908e-9,1.7916797248977962e-11,0.02242753678808884,1.6491589332175877e-9,7.04075702771552e-12,0.003019479363193533,4.647491521897105e-9,2.566779782989178e-11,0.006354354222397985,2.0665806417792147e-9,4.01370321015697e-11,0.013053703202497319
10.0,100.0,0.2,0.1,0.9,0.4,8.29745116301564e-9,1.777587495175891e-11,0.02210850310660714,1.5570671103624755e-9,6.647589252371265e-12,0.002931781328629286,4.667454479780901e-9,2.5778051966910356e-11,0.006377918080359172,2.072929572872264e-9,4.026034074287826e-11,0.01279880369761868
10.0,120.0,0.2,0.1,0.9,0.4,8.024995573104905e-9,1.719218528597958e-11,0.022767884242421765,1.4681750882120138e-9,6.2680823915967185e-12,0.002849936590408192,4.4869374106087095e-9,2.478106776273799e-11,0.006259732414460256,2.0698830742841815e-9,4.0201171790476785e-11,0.013658215237553315
10.0,140.0,0.2,0.1,0.9,0.4,7.95647339639234e-9,1.7045388200858538e-11,0.021797873263489444,1.454797708583813e-9,6.210970322085073e-12,0.0028216622906397184,4.452709926878766e-9,2.4592031563647204e-11,0.006193446551460114,2.048965760929762e-9,3.979491671355798e-11,0.012782764421389608
10.0,160.0,0.2,0.1,0.9,0.4,8.038391755924756e-9,1.722088432451059e-11,0.021871525577991154,1.4316924766453038e-9,6.112327116223366e-12,0.002799261129451188,4.512994236861509e-9,2.492497794421853e-11,0.006257709578123966,2.093705042417944e-9,4.066384093600996e-11,0.012814554870416
10.0,180.0,0.2,0.1,0.9,0.4,7.900529218466148e-9,1.6925537334422884e-11,0.02222870619177821,1.4422886449370948e-9,6.157565355464339e-12,0.002814088316318423,4.446907558260058e-9,2.455998545362467e-11,0.0062018174271140074,2.0113330152689965e-9,3.9064015295960295e-11,0.013212800448345783
10.0,200.0,0.2,0.1,0.9,0.4,7.762263377146568e-9,1.6629326334549603e-11,0.02156597542287781,1.4435111602983236e-9,6.162784642367311e-12,0.0028179325526042054,4.2921456052306466e-9,2.3705245105331014e-11,0.0060914685487735605,2.026606611617598e-9,3.9360658366429805e-11,0.012656574321500054
10.0,220.0,0.2,0.1,0.9,0.4,7.786601102528392e-9,1.6681465763212455e-11,0.021707321530308514,1.4062557838335918e-9,6.003730200505557e-12,0.002782187164897655,4.3768222174333026e-9,2.4172908607824228e-11,0.006180399701506289,2.0035231012614995e-9,3.8912331513149124e-11,0.012744734663904569
10.0,240.0,0.2,0.1,0.9,0.4,7.749209388506029e-9,1.6601360388726358e-11,0.021901902992356104,1.4082142186940347e-9,6.012091349773374e-12,0.0027813778838619726,4.303572041341757e-9,2.3768352579682345e-11,0.006098330000146607,2.0374231284702385e-9,3.9570736248398076e-11,0.013022195108347524
10.0,260.0,0.2,0.1,0.9,0.4,7.588792984789209e-9,1.6257695584118492e-11,0.021744377106028043,1.3671707777728508e-9,5.836864517909665e-12,0.0027424039011425217,4.0836703222802756e-9,2.2553849478230378e-11,0.0058982369392382,2.1379518847360815e-9,4.1523201028044494e-11,0.013103736265647316
10.0,280.0,0.2,0.1,0.9,0.4,7.324183303060814e-9,1.569081443941295e-11,0.021471075778803774,1.3776068271639024e-9,5.881419161256425e-12,0.0027650831763241417,3.880793397582228e-9,2.143337322497322e-11,0.005721481376262035,2.065783078314685e-9,4.0121541861444686e-11,0.012984511226217597
10.0,300.0,0.2,0.1,0.9,0.4,7.391959955166661e-9,1.5836014365126586e-11,0.02199951145365859,1.3772136564270556e-9,5.879740596763466e-12,0.002758119101188078,3.985553669359347e-9,2.201195749218711e-11,0.005865055505115076,2.0291926293802573e-9,3.9410883881881125e-11,0.013376336847355438
10.0,320.0,0.2,0.1,0.9,0.4,7.275936605077372e-9,1.5587454111844928e-11,0.021980192453126848,1.3548271910994745e-9,5.784166022411582e-12,0.002740030143212486,3.866292954168088e-9,2.1353288205292325e-11,0.005736864731794216,2.054816459809809e-9,3.990854871224102e-11,0.01350329757812015
10.0,340.0,0.2,0.1,0.9,0.4,7.310303602408887e-9,1.566107954633443e-11,0.021920211263709025,1.361062414462136e-9,5.81078607207798e-12,0.0027448560663044996,3.923496614480762e-9,2.1669220355166624e-11,0.005788297053261418,2.0257445734659914e-9,3.93439159019625e-11,0.013387058144143107
10.0,360.0,0.2,0.1,0.9,0.4,7.298804875391956e-9,1.563644548347083e-11,0.021603091891509243,1.3666250327057552e-9,5.834534567570071e-12,0.002756257824255276,3.8761445758125275e-9,2.1407698080269965e-11,0.00575627112264909,2.056035266873673e-9,3.993222032575513e-11,0.013090562944604874
10.0,380.0,0.2,0.1,0.9,0.4,7.102700163574951e-9,1.5216324561247423e-11,0.021167792463545942,1.3598532936325558e-9,5.805623970471669e-12,0.0027608111350272938,3.7715205689549645e-9,2.082986639547392e-11,0.0056292864104815704,1.9713263009874304e-9,3.82870067713788e-11,0.012777694918037073
10.0,400.0,0.2,0.1,0.9,0.4,7.020455110513142e-9,1.504012855238822e-11,0.021136153185526523,1.3598381266898146e-9,5.805559218217327e-12,0.0027586344585768304,3.6760707292282784e-9,2.030270304779339e-11,0.005576163022741755,1.9845462545950493e-9,3.854376408904797e-11,0.012801355704207939
20.0,20.0,0.2,0.1,0.9,0.4,1.0149009269100427e-8,2.231498376998555e-11,0.021332389252378164,1.8398276113028894e-9,8.041181466794955e-12,0.0033230712643302998,6.970186312787122e-9,3.9294293968371494e-11,0.008054354239649971,1.3389953450104182e-9,2.753882899034638e-11,0.009954963748397888
