TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE
10.0,20.0,1.4,0.5,0.7,0.4,0.0002760475687717431,1.370946080171893e-6,2.8439936669071093
10.0,40.0,1.4,0.5,0.7,0.4,0.0002954049013022041,1.4670811748343743e-6,2.663198299349899
10.0,60.0,1.4,0.5,0.7,0.4,0.000285682991979081,1.4187988677753944e-6,2.2491039742399774
10.0,80.0,1.4,0.5,0.7,0.4,0.0002584979238227308,1.2837885766361486e-6,2.1829089841926725
10.0,100.0,1.4,0.5,0.7,0.4,0.00028877654261216963,1.4341624919982651e-6,2.40624795006892
10.0,120.0,1.4,0.5,0.7,0.4,0.00023609946184171234,1.1725501991659692e-6,2.1985038487317157
10.0,140.0,1.4,0.5,0.7,0.4,0.00031117569466612016,1.5454042966052436e-6,2.8390607114087563
10.0,160.0,1.4,0.5,0.7,0.4,0.00025509110418575116,1.2668691520313557e-6,2.291883386456887
10.0,180.0,1.4,0.5,0.7,0.4,0.0002693728117007081,1.3377969672007094e-6,2.6223782699504024
10.0,200.0,1.4,0.5,0.7,0.4,0.0002513692145834089,1.2483849828576623e-6,2.5076157580299183
10.0,220.0,1.4,0.5,0.7,0.4,0.00025774545706192876,1.2800515708701814e-6,2.437351781522822
10.0,240.0,1.4,0.5,0.7,0.4,0.0002438273307858705,1.210929423747498e-6,2.4416302457100207
10.0,260.0,1.4,0.5,0.7,0.4,0.0002598002471615762,1.2902563571148921e-6,2.5220520380878693
10.0,280.0,1.4,0.5,0.7,0.4,0.0002446876687994638,1.2152021548300667e-6,2.4625369270692667
10.0,300.0,1.4,0.5,0.7,0.4,0.00024449367762524,1.2142387287036447e-6,2.5929210556060083
10.0,320.0,1.4,0.5,0.7,0.4,0.00026091548739882303,1.2957950193045515e-6,2.5299190885367233
10.0,340.0,1.4,0.5,0.7,0.4,0.0002378248382262878,1.1811190049039787e-6,2.512810321106472
10.0,360.0,1.4,0.5,0.7,0.4,0.00024501975277504116,1.2168513967583018e-6,2.5157316739769464
10.0,380.0,1.4,0.5,0.7,0.4,0.0002562607210958465,1.272677867265953e-6,2.5514721127871454
10.0,400.0,1.4,0.5,0.7,0.4,0.0002509291890228606,1.246199666319309e-6,2.4719984944620763
20.0,20.0,1.4,0.5,0.7,0.4,0.0005796300230988501,2.836335337359275e-6,6.876629903065799
20.0,40.0,1.4,0.5,0.7,0.4,0.0005641917869034013,2.7607905706587017e-6,6.008396526781931
20.0,60.0,1.4,0.5,0.7,0.4,0.0005191412882675727,2.5403424983464346e-6,7.661153689363363
20.0,80.0,1.4,0.5,0.7,0.4,0.000527791858008926,2.5826728050384792e-6,6.610207874447182
20.0,100.0,1.4,0.5,0.7,0.4,0.0005496462992675141,2.6896143393789194e-6,7.147408791837723
20.0,120.0,1.4,0.5,0.7,0.4,0.0005181304648326635,2.5353961806713494e-6,7.6000218585250625
20.0,140.0,1.4,0.5,0.7,0.4,0.0005033323595356329,2.4629838015548637e-6,7.013830749333083
20.0,160.0,1.4,0.5,0.7,0.4,0.0005079274638179942,2.4854692770056235e-6,6.990469387136719
20.0,180.0,1.4,0.5,0.7,0.4,0.0005187502913159716,2.5384292115489408e-6,7.51060682626211
20.0,200.0,1.4,0.5,0.7,0.4,0.0004981974489642752,2.437856862425905e-6,7.361305525154819
20.0,220.0,1.4,0.5,0.7,0.4,0.0005003401035884075,2.4483416316476446e-6,6.79616547589391
20.0,240.0,1.4,0.5,0.7,0.4,0.0004933129638597165,2.4139553439490026e-6,7.366761410906385
20.0,260.0,1.4,0.5,0.7,0.4,0.0005106635715781253,2.4988580229601427e-6,7.434850478998457
20.0,280.0,1.4,0.5,0.7,0.4,0.0004891226992473444,2.393450892627767e-6,7.224622664584207
20.0,300.0,1.4,0.5,0.7,0.4,0.0004778783474076575,2.3384282899370056e-6,6.95248124782156
20.0,320.0,1.4,0.5,0.7,0.4,0.00046446720007784875,2.2728027882028055e-6,6.538078985392865
20.0,340.0,1.4,0.5,0.7,0.4,0.00048486484322351965,2.3726156925510056e-6,6.931486068621726
20.0,360.0,1.4,0.5,0.7,0.4,0.0004673353403638039,2.286837616147132e-6,6.802631571341721
20.0,380.0,1.4,0.5,0.7,0.4,0.0004624446247857982,2.2629056097532786e-6,6.614518139596219
20.0,400.0,1.4,0.5,0.7,0.4,0.0004955433338513619,2.4248693355826114e-6,6.756993588979124
30.0,20.0,1.4,0.5,0.7,0.4,0.0007408283534899406,3.914397562069893e-6,8.33473097469346
30.0,40.0,1.4,0.5,0.7,0.4,0.000646255713018922,3.414693532716359e-6,7.584431227695128
30.0,60.0,1.4,0.5,0.7,0.4,0.0005768733564092753,3.0480902213230504e-6,7.681536761195965
30.0,80.0,1.4,0.5,0.7,0.4,0.0005896078838116814,3.115377066897013e-6,7.038124046914833
30.0,100.0,1.4,0.5,0.7,0.4,0.0004949893375434323,2.6154304799524823e-6,8.104414145937238
30.0,120.0,1.4,0.5,0.7,0.4,0.0005323916929913057,2.8130574853055054e-6,7.907309438303247
30.0,140.0,1.4,0.5,0.7,0.4,0.0005339021023786088,2.8210382041799033e-6,7.77397028064558
30.0,160.0,1.4,0.5,0.7,0.4,0.0005316940289136574,2.809371159651492e-6,8.076328003281887
30.0,180.0,1.4,0.5,0.7,0.4,0.0005332076716214723,2.8173689627828158e-6,7.724169593999472
30.0,200.0,1.4,0.5,0.7,0.4,0.0005373371894688325,2.8391885577241837e-6,8.349448414520088
30.0,220.0,1.4,0.5,0.7,0.4,0.000499047181235492,2.6368713621495955e-6,8.27754677790543
30.0,240.0,1.4,0.5,0.7,0.4,0.0005001447749546928,2.6426708407445265e-6,7.611504584681347
30.0,260.0,1.4,0.5,0.7,0.4,0.0005127917534693002,2.709495094476065e-6,8.061260711597818
30.0,280.0,1.4,0.5,0.7,0.4,0.0005165509038042295,2.729357737201849e-6,8.067001027627464
30.0,300.0,1.4,0.5,0.7,0.4,0.0004913829254172631,2.596374877169472e-6,7.800712919594271
30.0,320.0,1.4,0.5,0.7,0.4,0.0004769643689117448,2.520189938825945e-6,7.893112841423987
30.0,340.0,1.4,0.5,0.7,0.4,0.0004895819388265651,2.5868588030522517e-6,8.16465234524406
30.0,360.0,1.4,0.5,0.7,0.4,0.000511715315231013,2.703807397459853e-6,8.04565770877305
30.0,380.0,1.4,0.5,0.7,0.4,0.0004925760187836637,2.6026789579228067e-6,7.871742574485965
30.0,400.0,1.4,0.5,0.7,0.4,0.0004976853222955275,2.6296755558749477e-6,8.178494250863782
40.0,20.0,1.4,0.5,0.7,0.4,0.001656069509471289,8.753131109459436e-6,8.60069315681316
40.0,40.0,1.4,0.5,0.7,0.4,0.0007137531231334345,3.7725316666011657e-6,8.164105810677519
40.0,60.0,1.4,0.5,0.7,0.4,0.0004761953132725245,2.5169233458776992e-6,5.502977006555598
40.0,80.0,1.4,0.5,0.7,0.4,0.0005583009164320723,2.950891307467797e-6,5.332629589927
40.0,100.0,1.4,0.5,0.7,0.4,0.00046418713225251506,2.4534542811717003e-6,6.546614772148404
40.0,120.0,1.4,0.5,0.7,0.4,0.0005000607411142705,2.643063714797865e-6,5.877891873321217
40.0,140.0,1.4,0.5,0.7,0.4,0.000449745380609681,2.3771226146220667e-6,5.481557365727528
40.0,160.0,1.4,0.5,0.7,0.4,0.0004879659214163761,2.5791367226302827e-6,5.643455740196036
40.0,180.0,1.4,0.5,0.7,0.4,0.0004836756467544415,2.556460538812676e-6,5.753656186409006
40.0,200.0,1.4,0.5,0.7,0.4,0.0005148101789911278,2.7210216524258425e-6,5.7479121302099765
40.0,220.0,1.4,0.5,0.7,0.4,0.000421985310007097,2.2303971684964123e-6,5.653600879617836
40.0,240.0,1.4,0.5,0.7,0.4,0.0004166013038578452,2.2019400829399113e-6,5.285428522905756
40.0,260.0,1.4,0.5,0.7,0.4,0.0004071282841458652,2.151870576154579e-6,5.085707806822147
40.0,280.0,1.4,0.5,0.7,0.4,0.0004447613377987067,2.3507795294253924e-6,6.029738025187059
40.0,300.0,1.4,0.5,0.7,0.4,0.00043390545440439877,2.2934009169239654e-6,5.3917861967471135
40.0,320.0,1.4,0.5,0.7,0.4,0.0003993869878424371,2.110954068052988e-6,5.417651433554369
40.0,340.0,1.4,0.5,0.7,0.4,0.0004695213171807194,2.48164803739488e-6,5.77640634984831
40.0,360.0,1.4,0.5,0.7,0.4,0.0004187410855914761,2.213249867917522e-6,5.31337259233071
40.0,380.0,1.4,0.5,0.7,0.4,0.0004092596302780941,2.1631357748846705e-6,5.331901181038772
40.0,400.0,1.4,0.5,0.7,0.4,0.0004023804391182964,2.12677591087874e-6,5.429815083623047
50.0,20.0,1.4,0.5,0.7,0.4,0.001117528109849015,5.512663441212862e-6,9.768216811542734
50.0,40.0,1.4,0.5,0.7,0.4,0.0005868587546212843,2.8949202917084143e-6,6.589423594785746
50.0,60.0,1.4,0.5,0.7,0.4,0.0004782570336351435,2.359197984898625e-6,5.612060668619555
50.0,80.0,1.4,0.5,0.7,0.4,0.000547123363976523,2.69890926218784e-6,6.717758657512332
50.0,100.0,1.4,0.5,0.7,0.4,0.0004511223598101548,2.2253451331753153e-6,5.8820378749448174
50.0,120.0,1.4,0.5,0.7,0.4,0.00045321433866596513,2.235664672573545e-6,5.6222246679168295
50.0,140.0,1.4,0.5,0.7,0.4,0.0005557940716196065,2.7416810659681754e-6,6.38301759628895
50.0,160.0,1.4,0.5,0.7,0.4,0.00044278602772133843,2.184222773267933e-6,5.643443922216854
50.0,180.0,1.4,0.5,0.7,0.4,0.0004100532019539561,2.0227547526023786e-6,4.764813540835303
50.0,200.0,1.4,0.5,0.7,0.4,0.0004231963182142394,2.0875885369816037e-6,5.295713812340693
50.0,220.0,1.4,0.5,0.7,0.4,0.00036532640083320134,1.8021215540208276e-6,4.705732248097211
50.0,240.0,1.4,0.5,0.7,0.4,0.0003494160198184207,1.723637106978329e-6,4.613650377136485
50.0,260.0,1.4,0.5,0.7,0.4,0.0004181923082127462,2.062904215619502e-6,5.414458130992133
50.0,280.0,1.4,0.5,0.7,0.4,0.00038845085155210014,1.916192343786845e-6,4.8212228044661005
50.0,300.0,1.4,0.5,0.7,0.4,0.00038645279232412137,1.9063361012794913e-6,4.842992205647387
50.0,320.0,1.4,0.5,0.7,0.4,0.00038093363003217543,1.879110581022071e-6,5.119969892331017
50.0,340.0,1.4,0.5,0.7,0.4,0.0004178627132625768,2.0612783540271234e-6,5.473251861971334
50.0,360.0,1.4,0.5,0.7,0.4,0.0003942425890216225,1.9447624523397764e-6,5.096258627560453
50.0,380.0,1.4,0.5,0.7,0.4,0.00038784062284003473,1.9131821416432623e-6,5.449493778868632
50.0,400.0,1.4,0.5,0.7,0.4,0.00036527034446453074,1.8018450331069515e-6,4.593828146817279
60.0,20.0,1.4,0.5,0.7,0.4,0.0007324205478007635,3.6209980268282648e-6,7.082597810662663
60.0,40.0,1.4,0.5,0.7,0.4,0.000585360268875281,2.893949910260622e-6,5.953876194949935
60.0,60.0,1.4,0.5,0.7,0.4,0.0004786870343478813,2.3665704246646276e-6,4.476106185259576
60.0,80.0,1.4,0.5,0.7,0.4,0.0003687908986916202,1.8232573082286581e-6,3.665101180715067
60.0,100.0,1.4,0.5,0.7,0.4,0.00035589517913478953,1.759502440605096e-6,4.354266114444928
60.0,120.0,1.4,0.5,0.7,0.4,0.00031944022475497417,1.579273584009262e-6,3.9024138011405936
60.0,140.0,1.4,0.5,0.7,0.4,0.0003215167453624635,1.58953964910665e-6,3.4713756355373877
60.0,160.0,1.4,0.5,0.7,0.4,0.00029770381857700676,1.4718114379552057e-6,4.022955318858461
60.0,180.0,1.4,0.5,0.7,0.4,0.00039723013681899894,1.963857439468764e-6,4.788857384735426
60.0,200.0,1.4,0.5,0.7,0.4,0.00033359483451472543,1.6492522515445777e-6,4.0766426495373755
60.0,220.0,1.4,0.5,0.7,0.4,0.00030605823293399046,1.5131146455082696e-6,3.6875244378913683
60.0,240.0,1.4,0.5,0.7,0.4,0.00034724151256280614,1.7167197665306576e-6,3.9871152285876055
60.0,260.0,1.4,0.5,0.7,0.4,0.00026795670292214754,1.324745319434213e-6,3.615905749737849
60.0,280.0,1.4,0.5,0.7,0.4,0.0003171981652788149,1.5681891148971085e-6,3.6763862893628043
60.0,300.0,1.4,0.5,0.7,0.4,0.000320416942295873,1.5841023566303783e-6,4.053801877933343
60.0,320.0,1.4,0.5,0.7,0.4,0.00035222526977272977,1.7413588554769082e-6,3.863670743003062
60.0,340.0,1.4,0.5,0.7,0.4,0.0002985823794820167,1.4761549361176232e-6,3.9250369129895253
60.0,360.0,1.4,0.5,0.7,0.4,0.0003108975362575027,1.537039572025252e-6,3.872116179336228
60.0,380.0,1.4,0.5,0.7,0.4,0.0003292151710921855,1.6275997287435613e-6,3.7864562599298908
60.0,400.0,1.4,0.5,0.7,0.4,0.0003198749054766024,1.5814225925809661e-6,4.023926659160266
70.0,20.0,1.4,0.5,0.7,0.4,0.0012758067993914074,6.228020604309844e-6,7.339012001813893
70.0,40.0,1.4,0.5,0.7,0.4,0.0005632927041846381,2.749788266995313e-6,6.321338590848937
70.0,60.0,1.4,0.5,0.7,0.4,0.0003327015715927181,1.6241269790646567e-6,3.0895971666187108
70.0,80.0,1.4,0.5,0.7,0.4,0.00037319175618583827,1.821785201327271e-6,4.223347523970906
70.0,100.0,1.4,0.5,0.7,0.4,0.00028888379615874487,1.4102246794625646e-6,3.7508161441551144
70.0,120.0,1.4,0.5,0.7,0.4,0.00030897443875398784,1.5082998238313562e-6,4.0172172610337755
70.0,140.0,1.4,0.5,0.7,0.4,0.000321348115167352,1.5687035712406472e-6,3.766557673652413
70.0,160.0,1.4,0.5,0.7,0.4,0.0002575865944770904,1.2574432261707603e-6,3.5541748229935326
70.0,180.0,1.4,0.5,0.7,0.4,0.00026081993784805217,1.2732272219487765e-6,3.1744227511736973
70.0,200.0,1.4,0.5,0.7,0.4,0.00026932285482559394,1.314735342267721e-6,3.323120834915606
70.0,220.0,1.4,0.5,0.7,0.4,0.00028116326267203204,1.3725358682299793e-6,3.722641886085397
70.0,240.0,1.4,0.5,0.7,0.4,0.00026143161358426934,1.276213198422749e-6,3.4425572936238233
70.0,260.0,1.4,0.5,0.7,0.4,0.0002650751642121387,1.2939996754928205e-6,3.296057601878599
70.0,280.0,1.4,0.5,0.7,0.4,0.0002706758967920567,1.3213403966142301e-6,3.094397643416551
70.0,300.0,1.4,0.5,0.7,0.4,0.00029831528469426703,1.4562657453642075e-6,3.3494318232508613
70.0,320.0,1.4,0.5,0.7,0.4,0.0002593141242805222,1.2658763927093496e-6,3.133554451735959
70.0,340.0,1.4,0.5,0.7,0.4,0.00027977778592410833,1.3657724791831602e-6,3.334153444525992
70.0,360.0,1.4,0.5,0.7,0.4,0.00028311948223955544,1.3820854142732373e-6,3.4893984828804174
70.0,380.0,1.4,0.5,0.7,0.4,0.0002690257333262745,1.3132849041444662e-6,3.396988406939477
70.0,400.0,1.4,0.5,0.7,0.4,0.0002653212868241904,1.2952011557637954e-6,3.209637550994181
80.0,20.0,1.4,0.5,0.7,0.4,0.0013019497294685686,6.4131033045602434e-6,9.441667398755083
80.0,40.0,1.4,0.5,0.7,0.4,0.0005972049492345515,2.9416934822814877e-6,6.066640047267757
80.0,60.0,1.4,0.5,0.7,0.4,0.00035924815463154894,1.7695733371865e-6,3.538608800268795
80.0,80.0,1.4,0.5,0.7,0.4,0.00024019898327217636,1.1831646479957223e-6,2.8453631596731808
80.0,100.0,1.4,0.5,0.7,0.4,0.0002271962436983514,1.119116159608025e-6,3.1334039291067612
80.0,120.0,1.4,0.5,0.7,0.4,0.0002755754688093162,1.3574210352946117e-6,3.7937339972289075
80.0,140.0,1.4,0.5,0.7,0.4,0.00020390397585606267,1.0043838343199693e-6,3.077171920884771
80.0,160.0,1.4,0.5,0.7,0.4,0.0002286713491290477,1.126382187856316e-6,3.5237135478036525
80.0,180.0,1.4,0.5,0.7,0.4,0.0001980785721743405,9.756892428499137e-7,2.9470750238207133
80.0,200.0,1.4,0.5,0.7,0.4,0.00022486898630726037,1.1076526278544142e-6,3.0111840092147437
80.0,220.0,1.4,0.5,0.7,0.4,0.00022654348414828361,1.1159008170084827e-6,3.082325994491913
80.0,240.0,1.4,0.5,0.7,0.4,0.00020680627083700232,1.0186798682695059e-6,2.7630304376650794
80.0,260.0,1.4,0.5,0.7,0.4,0.0002373896961491139,1.1693267492469555e-6,3.395771353295095
80.0,280.0,1.4,0.5,0.7,0.4,0.00020406316478450935,1.0051679621706563e-6,2.962928534404887
80.0,300.0,1.4,0.5,0.7,0.4,0.00019970055019048294,9.836787314913016e-7,3.0510087753927024
80.0,320.0,1.4,0.5,0.7,0.4,0.00021464928221393348,1.0573127286946403e-6,2.715572356784642
80.0,340.0,1.4,0.5,0.7,0.4,0.00019589789554295855,9.649477340233008e-7,2.723838763076914
80.0,360.0,1.4,0.5,0.7,0.4,0.00019854702735438951,9.779967447412786e-7,2.6314811022807283
80.0,380.0,1.4,0.5,0.7,0.4,0.000207343649916389,1.0213268733510484e-6,2.996354960397382
80.0,400.0,1.4,0.5,0.7,0.4,0.00020357606698555034,1.0027686310494593e-6,2.5917151127407285
90.0,20.0,1.4,0.5,0.7,0.4,0.0006775498591576802,3.297221574444594e-6,6.310386100224386
90.0,40.0,1.4,0.5,0.7,0.4,0.00045958484898243673,2.236518920152408e-6,4.81405310872521
90.0,60.0,1.4,0.5,0.7,0.4,0.00046073897089708043,2.242135327011725e-6,4.8166330831055655
90.0,80.0,1.4,0.5,0.7,0.4,0.00039830518989938094,1.9383082257328857e-6,3.091289191758845
90.0,100.0,1.4,0.5,0.7,0.4,0.00036565035172573504,1.779397061512446e-6,4.308556716127817
90.0,120.0,1.4,0.5,0.7,0.4,0.0002408742013383809,1.1721877034516358e-6,3.408547708883624
90.0,140.0,1.4,0.5,0.7,0.4,0.00027594973989265604,1.3428789387803477e-6,3.2575364487709955
90.0,160.0,1.4,0.5,0.7,0.4,0.0002500072257484585,1.216632558273499e-6,3.2086902775256982
90.0,180.0,1.4,0.5,0.7,0.4,0.0002677808272856984,1.303125827591013e-6,2.95517903068811
90.0,200.0,1.4,0.5,0.7,0.4,0.00029291155399779726,1.4254217341972306e-6,3.532674029154037
90.0,220.0,1.4,0.5,0.7,0.4,0.0002771190175743544,1.3485690995065343e-6,3.3205580795215
90.0,240.0,1.4,0.5,0.7,0.4,0.000222810865207556,1.084284472726973e-6,2.8627269336377927
90.0,260.0,1.4,0.5,0.7,0.4,0.00023440950332861935,1.1407279644199519e-6,3.126955058506915
90.0,280.0,1.4,0.5,0.7,0.4,0.00023416709381791605,1.139548305303005e-6,2.7820570131398727
90.0,300.0,1.4,0.5,0.7,0.4,0.00022440056722765594,1.092020582072679e-6,2.7532104793211545
90.0,320.0,1.4,0.5,0.7,0.4,0.00025918636180701686,1.2613018103410395e-6,2.604428345909824
90.0,340.0,1.4,0.5,0.7,0.4,0.000249857609267794,1.2159044661910171e-6,2.8471576689231792
90.0,360.0,1.4,0.5,0.7,0.4,0.00021061746478297797,1.024946635957673e-6,2.709367920084905
90.0,380.0,1.4,0.5,0.7,0.4,0.00027688769920003714,1.3474434141801253e-6,3.2339472071306328
90.0,400.0,1.4,0.5,0.7,0.4,0.00023335837953811594,1.1356127865586968e-6,2.7967099618605
100.0,20.0,1.4,0.5,0.7,0.4,0.001095159061871792,5.344895879546215e-6,7.480274381926723
100.0,40.0,1.4,0.5,0.7,0.4,0.0005461588369194894,2.665514278847717e-6,5.152386985490003
100.0,60.0,1.4,0.5,0.7,0.4,0.000419883325585291,2.049229865272038e-6,4.642335084139678
100.0,80.0,1.4,0.5,0.7,0.4,0.0003333357129507535,1.6268364484068487e-6,3.204374524377629
100.0,100.0,1.4,0.5,0.7,0.4,0.0002750203474905372,1.3422297940731694e-6,3.2745474663829386
