TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE
10.0,20.0,1.4,0.5,0.7,0.4,0.0006111258542114967,3.0350594951174908e-6,5.166581902469967
10.0,40.0,1.4,0.5,0.7,0.4,0.000627437183848062,3.1160671231703468e-6,4.831619834489763
10.0,60.0,1.4,0.5,0.7,0.4,0.0007339387432317113,3.6449902031294194e-6,5.8711544427483195
10.0,80.0,1.4,0.5,0.7,0.4,0.0005613898578556296,2.7880535683534065e-6,4.973382734996758
10.0,100.0,1.4,0.5,0.7,0.4,0.0006249374112159634,3.1036523994102556e-6,5.512521327332014
10.0,120.0,1.4,0.5,0.7,0.4,0.0006599036860194421,3.2773068498312943e-6,5.454196809149492
10.0,140.0,1.4,0.5,0.7,0.4,0.0007194899219664274,3.573232427096467e-6,5.533993101400605
10.0,160.0,1.4,0.5,0.7,0.4,0.0006550701020713898,3.2533016228295472e-6,5.738849665661516
10.0,180.0,1.4,0.5,0.7,0.4,0.0006832565259582953,3.3932850204583978e-6,6.005754490247552
10.0,200.0,1.4,0.5,0.7,0.4,0.0007199310097420189,3.5754230194797928e-6,5.345038061012831
10.0,220.0,1.4,0.5,0.7,0.4,0.0007210380793948016,3.5809211050840584e-6,5.952835770697403
10.0,240.0,1.4,0.5,0.7,0.4,0.0007297360556123094,3.6241182225441174e-6,5.832483938295332
10.0,260.0,1.4,0.5,0.7,0.4,0.000747033479303232,3.7100231301051654e-6,6.191909647683563
10.0,280.0,1.4,0.5,0.7,0.4,0.0007027589181128988,3.490140553698282e-6,6.10773267332024
10.0,300.0,1.4,0.5,0.7,0.4,0.0007277603106513576,3.614305998986003e-6,5.902319578265537
10.0,320.0,1.4,0.5,0.7,0.4,0.0007430769111655318,3.69037346283671e-6,6.216081687620843
10.0,340.0,1.4,0.5,0.7,0.4,0.000719654617724451,3.574050362421491e-6,6.112276648562695
10.0,360.0,1.4,0.5,0.7,0.4,0.0007642635543042768,3.7955935610943438e-6,6.226661453504481
10.0,380.0,1.4,0.5,0.7,0.4,0.0007453506216158875,3.7016654846746734e-6,6.379523967714414
10.0,400.0,1.4,0.5,0.7,0.4,0.0007606544465746809,3.7776695007586126e-6,6.062971969671334
20.0,20.0,1.4,0.5,0.7,0.4,0.0006586530290735234,3.223095266659744e-6,7.553281142181671
20.0,40.0,1.4,0.5,0.7,0.4,0.0005233430952846189,2.5609608986746553e-6,7.276094270682404
20.0,60.0,1.4,0.5,0.7,0.4,0.0006055420945433293,2.9631987898562707e-6,7.766405196513859
