TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE
10.0,20.0,1.4,0.5,0.7,0.4,0.0005470852232161437,2.716985439483723e-6,5.038239473948884
10.0,40.0,1.4,0.5,0.7,0.4,0.0005229646938062045,2.5971958264245674e-6,5.573628438213516
10.0,60.0,1.4,0.5,0.7,0.4,0.0005231274415220054,2.5980040792440107e-6,5.134266560352866
10.0,80.0,1.4,0.5,0.7,0.4,0.0006023239634717379,2.9913172009734274e-6,5.761128424808788
10.0,100.0,1.4,0.5,0.7,0.4,0.0005691807265452453,2.8267181799703274e-6,5.549199442430904
10.0,120.0,1.4,0.5,0.7,0.4,0.0005497870168668892,2.730403338008584e-6,5.772352215117304
10.0,140.0,1.4,0.5,0.7,0.4,0.0006152689119721865,3.05560560632246e-6,5.8164346896625965
10.0,160.0,1.4,0.5,0.7,0.4,0.0006129718235036249,3.044197592255478e-6,5.87030811926598
10.0,180.0,1.4,0.5,0.7,0.4,0.0006449394651261981,3.2029582626910053e-6,6.253655363887006
10.0,200.0,1.4,0.5,0.7,0.4,0.000639272605612322,3.1748149787319025e-6,6.227029256807226
10.0,220.0,1.4,0.5,0.7,0.4,0.0006284947788496821,3.1212891346024927e-6,6.1674805597879105
10.0,240.0,1.4,0.5,0.7,0.4,0.0006624180435753143,3.289762002097362e-6,6.478353860185944
10.0,260.0,1.4,0.5,0.7,0.4,0.0006637228997218169,3.2962422998649144e-6,6.415584299115681
10.0,280.0,1.4,0.5,0.7,0.4,0.0006537761345803187,3.2468437511332527e-6,6.71948383197063
10.0,300.0,1.4,0.5,0.7,0.4,0.0006575717286173376,3.265693782709955e-6,6.444362178484902
10.0,320.0,1.4,0.5,0.7,0.4,0.0006771557805775152,3.3629539201874263e-6,6.55888983562504
10.0,340.0,1.4,0.5,0.7,0.4,0.0007302005424644476,3.626389742563379e-6,6.620518599214372
10.0,360.0,1.4,0.5,0.7,0.4,0.0007250714605342049,3.6009172195797293e-6,6.579446102781356
10.0,380.0,1.4,0.5,0.7,0.4,0.0006755521696106017,3.354989918487495e-6,6.785415155994241
10.0,400.0,1.4,0.5,0.7,0.4,0.0007251029224667396,3.601073468750731e-6,6.918691909462776
20.0,20.0,1.4,0.5,0.7,0.4,0.0008253514281869436,4.038762600853058e-6,6.312725650961356
20.0,40.0,1.4,0.5,0.7,0.4,0.0005987945199060856,2.930132341207618e-6,6.5407828737929465
20.0,60.0,1.4,0.5,0.7,0.4,0.0005606806957451594,2.7436267117998116e-6,7.419708484248639
20.0,80.0,1.4,0.5,0.7,0.4,0.0005050124596845943,2.471220580086006e-6,6.606388894497556
20.0,100.0,1.4,0.5,0.7,0.4,0.00043949962031425026,2.1506410105978084e-6,7.06449621507962
20.0,120.0,1.4,0.5,0.7,0.4,0.0005415631291241596,2.650077091054838e-6,8.014898421800506
20.0,140.0,1.4,0.5,0.7,0.4,0.0004939306421596766,2.4169929763761134e-6,7.610818753823122
20.0,160.0,1.4,0.5,0.7,0.4,0.0005779360455117216,2.828063787840158e-6,8.507170115844579
20.0,180.0,1.4,0.5,0.7,0.4,0.0004955629053177313,2.424980269027903e-6,7.258204153609909
20.0,200.0,1.4,0.5,0.7,0.4,0.0005022525686549299,2.4577153697085015e-6,7.289375022476691
20.0,220.0,1.4,0.5,0.7,0.4,0.0005166664261576858,2.5282479290863113e-6,7.886344388982769
20.0,240.0,1.4,0.5,0.7,0.4,0.0005340744788411263,2.613432239345522e-6,8.181294966301337
20.0,260.0,1.4,0.5,0.7,0.4,0.0005178332924978641,2.533957855759921e-6,7.517938154564293
20.0,280.0,1.4,0.5,0.7,0.4,0.0005017290107453636,2.4551533990953503e-6,7.058837478781933
20.0,300.0,1.4,0.5,0.7,0.4,0.0005253788280039386,2.5708810687872326e-6,7.684595012713578
20.0,320.0,1.4,0.5,0.7,0.4,0.0005376595796589822,2.6309755192247984e-6,7.681427109745407
20.0,340.0,1.4,0.5,0.7,0.4,0.0005074378846195146,2.4830891189699223e-6,7.456624200416525
20.0,360.0,1.4,0.5,0.7,0.4,0.0004907865883942709,2.4016079096892042e-6,7.407909792556157
20.0,380.0,1.4,0.5,0.7,0.4,0.0005246166127278698,2.5671512557092474e-6,7.741666970040318
20.0,400.0,1.4,0.5,0.7,0.4,0.0005106612406701581,2.4988622422989386e-6,7.310449131270276
30.0,20.0,1.4,0.5,0.7,0.4,0.0009299790444671191,4.913957299524688e-6,8.098297405434545
30.0,40.0,1.4,0.5,0.7,0.4,0.0007821612315197465,4.132896236639417e-6,8.759667864714025
30.0,60.0,1.4,0.5,0.7,0.4,0.0006396396623655888,3.3798202299794113e-6,8.521163048668775
30.0,80.0,1.4,0.5,0.7,0.4,0.0006457623908136598,3.4121723849332316e-6,7.085145317108311
30.0,100.0,1.4,0.5,0.7,0.4,0.0005623298310515862,2.971319401739623e-6,7.0266198358103
30.0,120.0,1.4,0.5,0.7,0.4,0.0006169055545829766,3.259694474940962e-6,8.278863003149398
30.0,140.0,1.4,0.5,0.7,0.4,0.0005659769372287633,2.990590506963021e-6,7.87162319352815
30.0,160.0,1.4,0.5,0.7,0.4,0.0005698398446974743,3.011001894150931e-6,7.538989983423867
30.0,180.0,1.4,0.5,0.7,0.4,0.0005890328063764124,3.112416431072843e-6,7.03213190761888
30.0,200.0,1.4,0.5,0.7,0.4,0.0005602299333573034,2.960223659674823e-6,8.16262695399948
30.0,220.0,1.4,0.5,0.7,0.4,0.0005311206888254818,2.806412038325057e-6,7.512319615711286
