TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE
10.0,20.0,0.2,0.1,0.1,0.2,7.011783816525793,0.008914967906304416,903.8375623536389
10.0,20.0,0.2,0.1,0.1,0.4,198.86925715836375,0.2528476478323397,1122.5300151849276
10.0,20.0,0.2,0.1,0.1,0.6,433.0995070746883,0.5506541996784201,1690.9684217784913
10.0,20.0,0.2,0.1,0.1,0.8,348.76059397798394,0.44342346878542765,2073.628289239057
10.0,20.0,0.2,0.1,0.1,1.0,726.7831193939803,0.924051333267073,2485.7418011788695
10.0,20.0,0.2,0.1,0.1,1.2,251.67560146520782,0.31998703447960686,2377.97812037188
10.0,20.0,0.2,0.1,0.1,1.4,293.75420135688574,0.3734868823631662,3046.840656136712
10.0,20.0,0.2,0.1,0.1,1.6,380.0822624633552,0.4832466687906648,2579.298850645921
10.0,20.0,0.2,0.1,0.1,1.8,150.44893831182637,0.1912847702786233,2368.585697286793
10.0,20.0,0.2,0.1,0.1,2.0,576.5559817576155,0.733048566249685,2785.50734884243
10.0,20.0,0.2,0.1,0.1,2.2,154.49785785727488,0.1964326739715194,2862.799551217256
10.0,20.0,0.2,0.1,0.1,2.4,452.2716473344993,0.575030167275788,3510.105131369541
10.0,20.0,0.2,0.1,0.1,2.6,269.86054147337427,0.34310784949515044,3041.8912653175403
10.0,20.0,0.2,0.1,0.1,2.8,361.5100829229692,0.459633507163742,3413.3508871389326
10.0,20.0,0.2,0.1,0.1,3.0,287.57872977687157,0.3656352240144923,3587.373789747482
10.0,20.0,0.2,0.1,0.2,0.2,14.317023649184739,0.01820304357437027,1150.9699775357494
10.0,20.0,0.2,0.1,0.2,0.4,83.30046232394442,0.10591041703938889,1275.0572603310914
10.0,20.0,0.2,0.1,0.2,0.6,208.93950887835462,0.26565123294580767,1591.7285206516908
10.0,20.0,0.2,0.1,0.2,0.8,540.2300992613324,0.6868628758324626,2172.5173600416306
10.0,20.0,0.2,0.1,0.2,1.0,881.0984282107116,1.1202519095469983,2412.212339427929
10.0,20.0,0.2,0.1,0.2,1.2,767.8440981253674,0.9762573506187515,2882.3375643608
10.0,20.0,0.2,0.1,0.2,1.4,624.4270063905158,0.7939130565721589,2641.442087077008
10.0,20.0,0.2,0.1,0.2,1.6,644.9831034091711,0.8200486234971234,2700.897623111224
10.0,20.0,0.2,0.1,0.2,1.8,676.5020617004366,0.8601226629939663,2901.6494079874738
10.0,20.0,0.2,0.1,0.2,2.0,232.52620031237004,0.29563997798591646,2944.3212955646172
10.0,20.0,0.2,0.1,0.2,2.2,370.5463745620221,0.47112248800828815,3210.8461288945664
10.0,20.0,0.2,0.1,0.2,2.4,280.04440241290337,0.35605588038340924,3308.9399187493455
10.0,20.0,0.2,0.1,0.2,2.6,427.67806896854484,0.5437612394864112,3700.479503693646
10.0,20.0,0.2,0.1,0.2,2.8,273.09724657179424,0.3472230821990707,3198.8180803820615
10.0,20.0,0.2,0.1,0.2,3.0,367.63257129725577,0.4674178012594677,3406.1380310223253
10.0,20.0,0.2,0.1,0.3,0.2,9.89888392305444,0.012585703551537677,715.8699923233033
10.0,20.0,0.2,0.1,0.3,0.4,115.70958107860733,0.1471162301576527,1381.9245069259355
10.0,20.0,0.2,0.1,0.3,0.6,203.27096994351663,0.25844410220674896,1544.2639804791722
10.0,20.0,0.2,0.1,0.3,0.8,173.29231576470156,0.22032844620942005,2033.8035290631374
10.0,20.0,0.2,0.1,0.3,1.0,946.6748306686712,1.203627486806777,2452.037975581205
10.0,20.0,0.2,0.1,0.3,1.2,353.6162649241761,0.4495970976053656,2140.186139269322
10.0,20.0,0.2,0.1,0.3,1.4,1337.7314556361428,1.7008272511400855,2692.251960406235
10.0,20.0,0.2,0.1,0.3,1.6,892.5247487159503,1.1347796364788054,2553.351164815912
10.0,20.0,0.2,0.1,0.3,1.8,413.5970231493832,0.5258582243835829,2763.2131230855302
10.0,20.0,0.2,0.1,0.3,2.0,258.5091427180608,0.3286753800632242,2628.346350817163
10.0,20.0,0.2,0.1,0.3,2.2,292.31882805606045,0.37166191068045906,3282.772172203933
10.0,20.0,0.2,0.1,0.3,2.4,479.0103039236192,0.609026404408468,3401.3234708042833
10.0,20.0,0.2,0.1,0.3,2.6,319.28416729183516,0.40594635814202584,3288.6969978792495
10.0,20.0,0.2,0.1,0.3,2.8,283.29271167971365,0.36018586693477916,3324.215335809558
10.0,20.0,0.2,0.1,0.3,3.0,341.09653684539177,0.4336791832859075,3604.1015743821677
10.0,20.0,0.2,0.1,0.4,0.2,6.374580342865718,0.008104810510396578,711.7475143225118
10.0,20.0,0.2,0.1,0.4,0.4,96.80720071531528,0.12308324244711558,1303.081056151827
10.0,20.0,0.2,0.1,0.4,0.6,266.95843734439995,0.3394180373378528,1676.2725677426185
10.0,20.0,0.2,0.1,0.4,0.8,570.6291387421148,0.7255130208518987,2074.826042022196
10.0,20.0,0.2,0.1,0.4,1.0,1144.9506828343197,1.4557206637934768,2750.9243317418
10.0,20.0,0.2,0.1,0.4,1.2,1453.9135388388383,1.8485442330296982,2489.6951317642315
10.0,20.0,0.2,0.1,0.4,1.4,476.4677849416394,0.6057937783437429,2774.760696292283
10.0,20.0,0.2,0.1,0.4,1.6,364.64598401077905,0.4636205749751141,2653.779597463968
10.0,20.0,0.2,0.1,0.4,1.8,478.045549231719,0.6077997897065892,2675.7300303710394
10.0,20.0,0.2,0.1,0.4,2.0,604.0454588696579,0.7679994165079825,2910.3941224479913
10.0,20.0,0.2,0.1,0.4,2.2,634.3878500625775,0.8065775373918407,2911.194892801403
10.0,20.0,0.2,0.1,0.4,2.4,197.22951009190209,0.2507628299237343,2945.674128563339
10.0,20.0,0.2,0.1,0.4,2.6,495.5089028194317,0.6300031606097217,3083.4038774345267
10.0,20.0,0.2,0.1,0.4,2.8,468.96547083356535,0.5962551372152384,3281.8293402254467
10.0,20.0,0.2,0.1,0.4,3.0,315.4317856483365,0.4010483379501193,3149.7454272028062
10.0,20.0,0.2,0.1,0.5,0.2,7.668764461097773,0.009750270521826924,898.1837389433272
10.0,20.0,0.2,0.1,0.5,0.4,69.61862369433759,0.08851496454487427,1060.1336817491829
10.0,20.0,0.2,0.1,0.5,0.6,148.18225860870922,0.18840285358867417,1622.1688256334353
10.0,20.0,0.2,0.1,0.5,0.8,792.8969644743145,1.0081102293306428,2126.8025114234415
10.0,20.0,0.2,0.1,0.5,1.0,1344.48064895371,1.7094083545217593,2685.354783443006
10.0,20.0,0.2,0.1,0.5,1.2,761.0628611277564,0.9676355060524283,2361.8799362491413
10.0,20.0,0.2,0.1,0.5,1.4,207.79710878905578,0.26419875517428043,2599.0463457373576
10.0,20.0,0.2,0.1,0.5,1.6,1027.3440729017684,1.3061925008391535,2645.798981699112
10.0,20.0,0.2,0.1,0.5,1.8,304.5612179196474,0.38722720983773135,2461.137525720199
10.0,20.0,0.2,0.1,0.5,2.0,372.2954621342836,0.4733463243358253,3015.3951677992395
10.0,20.0,0.2,0.1,0.5,2.2,464.18049000883326,0.5901713856905223,2818.896298678351
10.0,20.0,0.2,0.1,0.5,2.4,914.1866037983765,1.1623210935322448,3727.609625324958
10.0,20.0,0.2,0.1,0.5,2.6,524.7620133221767,0.6671963411348973,3773.571507266561
10.0,20.0,0.2,0.1,0.5,2.8,386.16005968979016,0.4909741413757423,3148.398676171894
