TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE
10.0,20.0,0.2,0.1,0.1,0.2,4.374134347133779,0.005575915853474782,1220.7038607628156
10.0,20.0,0.2,0.1,0.1,0.4,24.676675361483728,0.03145652475199098,2387.631262919396
10.0,20.0,0.2,0.1,0.1,0.6,216.35607505064374,0.2757993177920943,3243.6593797249725
10.0,20.0,0.2,0.1,0.1,0.8,72.13960959834735,0.09195977098565424,3914.4644850749214
10.0,20.0,0.2,0.1,0.1,1.0,200.30478683488903,0.2553379818275128,6588.799834261726
10.0,20.0,0.2,0.1,0.1,1.2,65.07616726664892,0.08295566709862344,6230.63664165336
10.0,20.0,0.2,0.1,0.1,1.4,224.03731157864382,0.28559095314934624,4824.043265959271
10.0,20.0,0.2,0.1,0.1,1.6,168.58772024402023,0.2149067375184244,6227.565487688141
10.0,20.0,0.2,0.1,0.1,1.8,119.63498005667866,0.15250436520434837,5774.836575950029
10.0,20.0,0.2,0.1,0.1,2.0,176.5136369154243,0.22501027822250935,4434.226446889737
10.0,20.0,0.2,0.1,0.1,2.2,107.97144875004595,0.1376363104170582,3483.2448328989394
10.0,20.0,0.2,0.1,0.1,2.4,258.1934488893738,0.32913139621990656,5757.729125573655
10.0,20.0,0.2,0.1,0.1,2.6,126.74472593675961,0.16156749441365065,5874.035563806214
10.0,20.0,0.2,0.1,0.1,2.8,159.52407805108953,0.2033528843024387,4293.053955592748
10.0,20.0,0.2,0.1,0.1,3.0,167.39595101874255,0.21338753294226329,4625.47775482812
10.0,20.0,0.2,0.1,0.2,0.2,7.1932440803518505,0.00916956831283189,1222.11783382553
10.0,20.0,0.2,0.1,0.2,0.4,203.30978931162213,0.2591686005557022,2515.6867590747424
10.0,20.0,0.2,0.1,0.2,0.6,157.53188661126316,0.20081334368687356,4060.411841524667
10.0,20.0,0.2,0.1,0.2,0.8,145.68054281443275,0.18570587543889258,4907.527979997769
10.0,20.0,0.2,0.1,0.2,1.0,159.51641588385522,0.20334311697561167,4693.8886937860425
10.0,20.0,0.2,0.1,0.2,1.2,190.3424568452081,0.24263852878867126,7785.434359170606
10.0,20.0,0.2,0.1,0.2,1.4,144.79604458926136,0.18457836373378567,4579.575992162444
10.0,20.0,0.2,0.1,0.2,1.6,271.8064987332068,0.3464845944562865,6824.055904121017
10.0,20.0,0.2,0.1,0.2,1.8,536.0832750669774,0.6833706957783162,4699.335258688326
10.0,20.0,0.2,0.1,0.2,2.0,151.0800613260321,0.19258889696512568,3943.1080692244536
10.0,20.0,0.2,0.1,0.2,2.2,209.41942426147452,0.26695684107880097,4739.356863459502
10.0,20.0,0.2,0.1,0.2,2.4,117.87314187759029,0.15025846678093274,4116.405530673689
10.0,20.0,0.2,0.1,0.2,2.6,105.9212908691855,0.13502287723855816,6060.349314139085
10.0,20.0,0.2,0.1,0.2,2.8,204.34717243389275,0.2604910018672637,4320.0944232365855
10.0,20.0,0.2,0.1,0.2,3.0,188.0681515065775,0.23973936424846407,5815.5778793362715
10.0,20.0,0.2,0.1,0.3,0.2,7.606241005272665,0.009696035018778238,1301.2726004848591
10.0,20.0,0.2,0.1,0.3,0.4,177.55774432945023,0.2263412513066837,3190.5833381257376
10.0,20.0,0.2,0.1,0.3,0.6,203.97996192448258,0.2600229012698679,3023.9440696406377
10.0,20.0,0.2,0.1,0.3,0.8,133.6038116497259,0.1703110952571712,4978.70279638727
10.0,20.0,0.2,0.1,0.3,1.0,140.83326073885578,0.17952681580639995,4945.8850775174715
10.0,20.0,0.2,0.1,0.3,1.2,220.6637990375778,0.28129057721966044,5890.964807862347
10.0,20.0,0.2,0.1,0.3,1.4,207.88682186714917,0.2650031603480772,8436.59019205102
10.0,20.0,0.2,0.1,0.3,1.6,206.8244534259028,0.2636489090691565,7525.425329952507
10.0,20.0,0.2,0.1,0.3,1.8,239.64835388674902,0.30549108684141435,5089.926856592785
10.0,20.0,0.2,0.1,0.3,2.0,76.01747915154283,0.0969030746437914,4467.774266152641
10.0,20.0,0.2,0.1,0.3,2.2,174.4977372186453,0.22244051557092306,5354.082666489388
10.0,20.0,0.2,0.1,0.3,2.4,222.12902029222505,0.28315836402597777,5664.905272224836
10.0,20.0,0.2,0.1,0.3,2.6,324.94675659848855,0.41422499353271663,5677.017160482533
10.0,20.0,0.2,0.1,0.3,2.8,220.17295025015773,0.28066486906389065,6428.479509004314
10.0,20.0,0.2,0.1,0.3,3.0,159.91852748929264,0.20385570765017424,7797.145873765425
10.0,20.0,0.2,0.1,0.4,0.2,3.802875766425278,0.004847705532570202,1066.1858277862539
10.0,20.0,0.2,0.1,0.4,0.4,216.3990882194647,0.2758541487119754,3312.284507916142
10.0,20.0,0.2,0.1,0.4,0.6,193.62482663740343,0.24682272074730682,3653.5573319771956
10.0,20.0,0.2,0.1,0.4,0.8,146.6401744014284,0.1869291631924867,4680.352574906979
10.0,20.0,0.2,0.1,0.4,1.0,190.49813658943881,0.2428369811188997,6357.714476370884
10.0,20.0,0.2,0.1,0.4,1.2,109.69002009894956,0.13982705456645966,4957.203265964223
10.0,20.0,0.2,0.1,0.4,1.4,219.14383966618252,0.279353013148005,7085.03794445143
10.0,20.0,0.2,0.1,0.4,1.6,284.575394868366,0.362761710050155,6692.975037126868
10.0,20.0,0.2,0.1,0.4,1.8,342.59722973865524,0.43672488612702526,5896.36904795297
10.0,20.0,0.2,0.1,0.4,2.0,207.88932786385902,0.2650063548605623,7323.9996751943945
10.0,20.0,0.2,0.1,0.4,2.2,490.41179804544305,0.6251511047538995,7912.329064919788
10.0,20.0,0.2,0.1,0.4,2.4,101.17800647384368,0.12897638836588407,4098.897059684973
10.0,20.0,0.2,0.1,0.4,2.6,269.76603109862356,0.3438835138928534,4965.986945515607
10.0,20.0,0.2,0.1,0.4,2.8,129.46952857006298,0.16504092915407687,7097.528084955453
10.0,20.0,0.2,0.1,0.4,3.0,121.02198543639204,0.154272446536982,6574.0184759578115
10.0,20.0,0.2,0.1,0.5,0.2,8.184762566217486,0.010433503803970663,1275.8112797975316
10.0,20.0,0.2,0.1,0.5,0.4,115.15145977475964,0.14678900992823316,2785.7782469832423
10.0,20.0,0.2,0.1,0.5,0.6,99.82575498188302,0.12725260945707,3086.8993146216317
10.0,20.0,0.2,0.1,0.5,0.8,69.158845439192,0.08816004998682517,3531.230135639112
10.0,20.0,0.2,0.1,0.5,1.0,95.53833544175446,0.12178723306780447,5563.553807135526
10.0,20.0,0.2,0.1,0.5,1.2,98.788166016937,0.1259299457481183,7065.450502746104
10.0,20.0,0.2,0.1,0.5,1.4,295.2119097665211,0.37632057846607514,6649.725464746568
10.0,20.0,0.2,0.1,0.5,1.6,189.4080354235799,0.24144737762476218,6235.758048049858
10.0,20.0,0.2,0.1,0.5,1.8,177.1921058554434,0.22587515465713956,7148.683512276637
10.0,20.0,0.2,0.1,0.5,2.0,121.8131365027508,0.15528096420546508,5226.30765153393
10.0,20.0,0.2,0.1,0.5,2.2,223.60833588889201,0.28504411755642267,5665.055924397313
10.0,20.0,0.2,0.1,0.5,2.4,391.9795223543223,0.4996748292299519,4510.327083113298
10.0,20.0,0.2,0.1,0.5,2.6,154.83056136859352,0.19736983668625685,5023.753889126962
10.0,20.0,0.2,0.1,0.5,2.8,109.12386075339144,0.1391053444816839,6052.635314522469
10.0,20.0,0.2,0.1,0.5,3.0,74.60897746588702,0.09510759095366642,5784.133427945214
10.0,20.0,0.2,0.1,0.6,0.2,4.851865438758922,0.006184902262233794,1213.9202283080238
10.0,20.0,0.2,0.1,0.6,0.4,139.64842408858658,0.17801644851136178,2739.329846993345
10.0,20.0,0.2,0.1,0.6,0.6,117.72237066013223,0.1500662715818477,2656.3687745903685
10.0,20.0,0.2,0.1,0.6,0.8,235.8092054836491,0.30059714286397016,4302.769625957681
10.0,20.0,0.2,0.1,0.6,1.0,119.04258318885124,0.15174920890947324,5228.991979773594
10.0,20.0,0.2,0.1,0.6,1.2,72.37993825193037,0.09226612928268182,5726.646885914675
