TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE
10.0,20.0,0.2,0.1,0.1,0.2,28.559176314130813,0.03642200140486178,6282.938127446522
10.0,20.0,0.2,0.1,0.1,0.4,495.052683025088,0.6313490738771368,31972.394537874698
10.0,20.0,0.2,0.1,0.1,0.6,378.01301921627817,0.48208640772804967,10985.786030659889
10.0,20.0,0.2,0.1,0.1,0.8,603.9274315421782,0.7701988852241598,22607.51756006192
10.0,20.0,0.2,0.1,0.1,1.0,2041.274401485279,2.6032718276198628,10131.97912188507
10.0,20.0,0.2,0.1,0.1,1.2,1249.7228074595132,1.593792669239435,5249.33973526145
10.0,20.0,0.2,0.1,0.1,1.4,1808.120334903901,2.3059264963970416,59047.92747648602
10.0,20.0,0.2,0.1,0.1,1.6,1750.1187628757186,2.2319561089230375,54145.18815830346
10.0,20.0,0.2,0.1,0.1,1.8,396.5299521767187,0.5057013660476003,21004.47580805846
10.0,20.0,0.2,0.1,0.1,2.0,1011.2111601647333,1.289614724564326,17292.241993616233
10.0,20.0,0.2,0.1,0.1,2.2,3731.702244289655,4.759103094888408,57295.96201728377
10.0,20.0,0.2,0.1,0.1,2.4,985.156348106251,1.256386581323797,22217.693509039556
10.0,20.0,0.2,0.1,0.1,2.6,1470.7299181865455,1.8756467818666815,41966.66653179143
10.0,20.0,0.2,0.1,0.1,2.8,691.3399530790405,0.8816775548888316,21252.00290999956
10.0,20.0,0.2,0.1,0.1,3.0,2693.038946607783,3.434478194252549,2781.5961792940143
10.0,20.0,0.2,0.1,0.2,0.2,27.53491934691606,0.03511574914154364,3808.3540893129116
10.0,20.0,0.2,0.1,0.2,0.4,256.44489799037126,0.3270485231135142,22325.713114792525
10.0,20.0,0.2,0.1,0.2,0.6,900.1504291008586,1.1479770926403279,26754.95111556834
10.0,20.0,0.2,0.1,0.2,0.8,1409.9494624915662,1.798132436972381,17422.4899268324
10.0,20.0,0.2,0.1,0.2,1.0,1255.485695300578,1.6011421777383714,23473.039223946536
10.0,20.0,0.2,0.1,0.2,1.2,779.4274649844018,0.9940170512061817,31407.55179670597
10.0,20.0,0.2,0.1,0.2,1.4,1502.857609263,1.9166197706059473,38204.30998746543
10.0,20.0,0.2,0.1,0.2,1.6,912.1274028976857,1.1632515302381023,32545.975588381978
10.0,20.0,0.2,0.1,0.2,1.8,999.5561829335587,1.2747509346420152,25219.929989161017
10.0,20.0,0.2,0.1,0.2,2.0,773.6326260359843,0.9866267949187209,38827.37086343001
10.0,20.0,0.2,0.1,0.2,2.2,1173.168689955706,1.4961619062019165,46512.045152200684
10.0,20.0,0.2,0.1,0.2,2.4,1255.7951400141035,1.6015368178241631,13464.488450620216
10.0,20.0,0.2,0.1,0.2,2.6,3554.1508382599854,4.532668778691127,73775.4574534108
10.0,20.0,0.2,0.1,0.2,2.8,3436.2625752194554,4.382323879564803,82100.1534129447
10.0,20.0,0.2,0.1,0.2,3.0,5959.148726580494,7.599803331299287,107831.412272272
10.0,20.0,0.2,0.1,0.3,0.2,16.666984399902145,0.021255687578345357,1479.8088956549404
10.0,20.0,0.2,0.1,0.3,0.4,141.90158141725334,0.1809694908873847,11555.12896463133
10.0,20.0,0.2,0.1,0.3,0.6,301.28258131891636,0.38423078030539914,21834.36203286471
10.0,20.0,0.2,0.1,0.3,0.8,505.83519963015954,0.6451001999816928,11214.9518044564
10.0,20.0,0.2,0.1,0.3,1.0,1980.0233434650506,2.5251573156071965,50920.0082326813
10.0,20.0,0.2,0.1,0.3,1.2,1864.6634483625633,2.378036886948035,48766.187281116385
10.0,20.0,0.2,0.1,0.3,1.4,4135.511619068634,5.2740880319091294,57592.077248180394
10.0,20.0,0.2,0.1,0.3,1.6,3936.373778704771,5.020124170286656,39591.696859367315
10.0,20.0,0.2,0.1,0.3,1.8,1954.4111909675237,2.4924937036043215,64994.27163150313
10.0,20.0,0.2,0.1,0.3,2.0,1668.2705060855305,2.12757364035994,40410.51302864246
10.0,20.0,0.2,0.1,0.3,2.2,2257.7033916210626,2.8792873854942687,63089.64889213047
10.0,20.0,0.2,0.1,0.3,2.4,1567.9839820508776,1.9996765371976353,36545.3438128382
10.0,20.0,0.2,0.1,0.3,2.6,1474.246184314355,1.8801311356322898,49399.913706980304
10.0,20.0,0.2,0.1,0.3,2.8,1257.3745941793456,1.6035511224803132,11337.529786308749
10.0,20.0,0.2,0.1,0.3,3.0,1082.6975584909876,1.3807825394770783,26248.579042903293
10.0,20.0,0.2,0.1,0.4,0.2,21.496193890206293,0.027414460258116276,1958.274867885422
10.0,20.0,0.2,0.1,0.4,0.4,114.91413251951815,0.14655194008496192,7911.954904809742
10.0,20.0,0.2,0.1,0.4,0.6,292.1868772438839,0.3726308747984912,13012.424676668206
10.0,20.0,0.2,0.1,0.4,0.8,976.2756244156423,1.2450608439433568,21491.23047218129
10.0,20.0,0.2,0.1,0.4,1.0,3159.1935263359774,4.028973027401583,2357.798447476348
10.0,20.0,0.2,0.1,0.4,1.2,2595.1859328576556,3.309684587984792,63107.511598143086
10.0,20.0,0.2,0.1,0.4,1.4,353.0658665647612,0.45027088129526277,7577.709549146412
10.0,20.0,0.2,0.1,0.4,1.6,240.59338302733934,0.30683281752374647,7010.6326405091295
10.0,20.0,0.2,0.1,0.4,1.8,1927.5578395207872,2.4582471695530455,64233.723535005935
10.0,20.0,0.2,0.1,0.4,2.0,275.29249314625986,0.35108518053302046,7275.13042857037
10.0,20.0,0.2,0.1,0.4,2.2,298.12273622215326,0.3802009763191929,7671.280731625909
10.0,20.0,0.2,0.1,0.4,2.4,1127.8983581508044,1.4384278850781749,40551.39587870658
10.0,20.0,0.2,0.1,0.4,2.6,4481.271766124412,5.715041805340604,48678.047280093495
10.0,20.0,0.2,0.1,0.4,2.8,2040.0704929672786,2.6017364626901593,2231.8717999953287
10.0,20.0,0.2,0.1,0.4,3.0,769.6988294776937,0.9816099575212918,4373.4355102127765
10.0,20.0,0.2,0.1,0.5,0.2,19.96579376443234,0.025462715049576777,2342.9861764508914
10.0,20.0,0.2,0.1,0.5,0.4,44.87568155398372,0.05723071697255527,8472.924480602116
10.0,20.0,0.2,0.1,0.5,0.6,74.01792498368972,0.09439631374827166,6692.692549056205
10.0,20.0,0.2,0.1,0.5,0.8,284.50848514291727,0.36283849126430257,1407.184738197768
10.0,20.0,0.2,0.1,0.5,1.0,869.5621639699219,1.1089673598904368,18813.33332427916
10.0,20.0,0.2,0.1,0.5,1.2,614.3272185902534,0.783461909840449,23201.98377722166
10.0,20.0,0.2,0.1,0.5,1.4,371.4960342490243,0.47377518638812127,4678.478104157233
10.0,20.0,0.2,0.1,0.5,1.6,2186.025536813697,2.787875402887486,64169.50452455567
10.0,20.0,0.2,0.1,0.5,1.8,1478.5888824687056,1.885669452162812,13262.291304942175
10.0,20.0,0.2,0.1,0.5,2.0,557.7632198055038,0.7113248838792556,27903.252594096946
10.0,20.0,0.2,0.1,0.5,2.2,357.3864553940534,0.45578100142896033,14094.80857445692
10.0,20.0,0.2,0.1,0.5,2.4,1422.8659329292036,1.8146050305531949,50292.224495995884
