TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE
10.0,20.0,0.2,0.1,0.1,0.2,20.11336435803161,0.025597329343232847,2965.6837665532676
10.0,20.0,0.2,0.1,0.1,0.4,67.52818082825816,0.08593992799220934,4078.7012397144963
10.0,20.0,0.2,0.1,0.1,0.6,199.91442891136455,0.2544216564776292,5217.128641520836
10.0,20.0,0.2,0.1,0.1,0.8,259.91336819363204,0.33077947418103865,6376.510308136676
10.0,20.0,0.2,0.1,0.1,1.0,418.8020123841264,0.5329895511152712,6639.470262757131
10.0,20.0,0.2,0.1,0.1,1.2,237.25100031072142,0.3019381483804287,7399.398301207754
10.0,20.0,0.2,0.1,0.1,1.4,409.8240053879905,0.521563665428764,7063.656886221782
10.0,20.0,0.2,0.1,0.1,1.6,322.90960871241634,0.41095181567700123,7869.586910350934
10.0,20.0,0.2,0.1,0.1,1.8,176.30869121972552,0.22437974845434194,7841.106705484391
10.0,20.0,0.2,0.1,0.1,2.0,324.6972871016726,0.41322690957352776,7946.508100235987
10.0,20.0,0.2,0.1,0.1,2.2,263.2325631589504,0.335003656926862,7288.260329536254
10.0,20.0,0.2,0.1,0.1,2.4,346.8310799519371,0.4413955428821007,9817.250708272826
10.0,20.0,0.2,0.1,0.1,2.6,313.08673501957185,0.39845070802852794,9506.80378128589
10.0,20.0,0.2,0.1,0.1,2.8,303.5868258472885,0.3863606220794494,9689.214439571406
10.0,20.0,0.2,0.1,0.1,3.0,372.71856896125684,0.4743413280946214,10572.244534876283
10.0,20.0,0.2,0.1,0.2,0.2,17.514296543344138,0.022289618427560727,3418.326680246334
10.0,20.0,0.2,0.1,0.2,0.4,38.13342876655278,0.048530614657432095,4185.104933726253
10.0,20.0,0.2,0.1,0.2,0.6,317.35058302273126,0.40387710610214383,4313.260312307781
10.0,20.0,0.2,0.1,0.2,0.8,222.97327053805182,0.2837675556959301,5160.126065803445
10.0,20.0,0.2,0.1,0.2,1.0,357.50965233229294,0.4549856578558976,6276.004448915006
10.0,20.0,0.2,0.1,0.2,1.2,442.34513376442123,0.5629517703149881,7173.920494305914
10.0,20.0,0.2,0.1,0.2,1.4,420.7934326361374,0.5355239376626494,6407.339507320348
10.0,20.0,0.2,0.1,0.2,1.6,323.66373291354273,0.4119115539484469,6379.019333044843
10.0,20.0,0.2,0.1,0.2,1.8,382.2586646346469,0.48648255750660696,6402.383671045566
10.0,20.0,0.2,0.1,0.2,2.0,231.29547211168074,0.294358828779286,7499.9103907472545
10.0,20.0,0.2,0.1,0.2,2.2,341.4187936285556,0.43450758157173197,10409.556732263101
10.0,20.0,0.2,0.1,0.2,2.4,331.9675805746749,0.4224794688737864,8359.096943076875
10.0,20.0,0.2,0.1,0.2,2.6,252.8155424828258,0.3217464064601816,8371.62254581385
10.0,20.0,0.2,0.1,0.2,2.8,314.8629693586644,0.4007112376226411,10401.181215165403
10.0,20.0,0.2,0.1,0.2,3.0,356.5010946350024,0.45370211408471894,12185.212173574726
10.0,20.0,0.2,0.1,0.3,0.2,17.2101674800078,0.021902567725425932,2732.3265172056167
10.0,20.0,0.2,0.1,0.3,0.4,55.83239154919619,0.07105524909036003,4666.706964886471
10.0,20.0,0.2,0.1,0.3,0.6,94.82031888546621,0.12067334373985218,4830.674893590731
10.0,20.0,0.2,0.1,0.3,0.8,213.47805385865004,0.2716834416610272,6153.8230031819785
10.0,20.0,0.2,0.1,0.3,1.0,397.27258724040513,0.5055900680569211,5876.980005476617
10.0,20.0,0.2,0.1,0.3,1.2,108.30887438115919,0.13783959157595096,5891.107071033134
10.0,20.0,0.2,0.1,0.3,1.4,501.8773123402666,0.6387155637013272,6267.05958993865
10.0,20.0,0.2,0.1,0.3,1.6,189.58811442684942,0.24127984349911671,7095.783779116285
10.0,20.0,0.2,0.1,0.3,1.8,251.47970259756516,0.32004634609811744,6692.560717092096
10.0,20.0,0.2,0.1,0.3,2.0,230.08484945002982,0.2928181264666823,7914.25611941399
10.0,20.0,0.2,0.1,0.3,2.2,323.8574996590091,0.41215815173841275,8536.137600581318
10.0,20.0,0.2,0.1,0.3,2.4,533.2829819721547,0.6786840768999257,9448.463045003191
10.0,20.0,0.2,0.1,0.3,2.6,359.60091810229,0.4576471130806904,8527.641520852985
