ROUND,WINDOW,NEURONS,LEAK,SPARSITY,SCALE,RADIUS,MSE,RMSE,MAPE,MSE(X),RMSE(X),MAPE(X),MSE(Y),RMSE(Y),MAPE(Y),MSE(Z),RMSE(Z),MAPE(Z),FRAMEWORK
0.0,1.0,20.0,0.95,0.95,1.5,0.1,0.00010452017600421929,0.007786329633376845,0.024169711914184665,0.00020890521427402046,0.014453553690149024,0.04628767422823923,1.3513773441812166e-07,0.00036761084643699193,0.002051749600130093,,,,65481.0
0.0,1.0,40.0,0.95,0.95,1.5,0.1,1.7254673197389983e-06,0.0010408512023304412,0.003953908415453703,3.4330314877357302e-06,0.0018528441617512601,0.0070234925751361576,1.790315174226629e-08,0.000133802659698028,0.0008843242557712476,,,,65481.0
0.0,1.0,60.0,0.95,0.95,1.5,0.1,1.2577117134822483e-06,0.0008850780508443436,0.0028418348557169583,2.504019367800784e-06,0.0015824093553189022,0.0050505898183972895,1.1404059163712799e-08,0.00010678978960421637,0.0006330798930366272,,,,65481.0
0.0,1.0,80.0,0.95,0.95,1.5,0.1,7.592652335568044e-07,0.0005865586373361008,0.0018570738323216984,1.5081632434469045e-06,0.0012280729796909076,0.003118544449607208,1.0367223666704415e-08,0.00010181956426298639,0.0005956032150361892,,,,65481.0
0.0,1.0,100.0,0.95,0.95,1.5,0.1,6.591987967130618e-07,0.0005372840917353104,0.0016648398183878358,1.3080924717315401e-06,0.001143718703061002,0.0027490441030572155,1.0305121694583412e-08,0.00010151414529307437,0.0005806355337184556,,,,65481.0
0.0,1.0,120.0,0.95,0.95,1.5,0.1,5.77993934747944e-07,0.00047970387776801804,0.001409914790954051,1.1459785240177825e-06,0.0010705038645506062,0.002242736233866424,1.0009345478105262e-08,0.00010004671647837955,0.0005770933480416778,,,,65481.0
0.0,1.0,140.0,0.95,0.95,1.5,0.1,5.204554322783984e-07,0.0004308351417509093,0.001424005727439645,1.0309074587912678e-06,0.0010153361309395365,0.002276215272148138,1.0003405765529163e-08,0.0001000170273779878,0.0005717961827311518,,,,65481.0
0.0,1.0,160.0,0.95,0.95,1.5,0.1,4.840350170748145e-07,0.0004133735369626965,0.0011999175551867132,9.582074394772986e-07,0.0009788807074803847,0.0018367534452551752,9.862594672330503e-09,9.931059697902587e-05,0.0005630816651182514,,,,65481.0
0.0,1.0,180.0,0.95,0.95,1.5,0.1,4.5618768048915445e-07,0.0003932533455193412,0.001208080456543288,9.025439802164273e-07,0.0009500231472003339,0.0018594397907507837,9.83138076188168e-09,9.915331946980737e-05,0.0005567211223357928,,,,65481.0
0.0,1.0,200.0,0.95,0.95,1.5,0.1,4.7013638665335465e-07,0.0003966927498503332,0.0011851969404494025,9.304458542226332e-07,0.0009645962130459735,0.0018229734078690173,9.826919084075918e-09,9.913081803392888e-05,0.0005474204730297874,,,,65481.0
0.0,1.0,220.0,0.95,0.95,1.5,0.1,4.3553899089889273e-07,0.0003838532840700569,0.001130687464738415,8.612683634100565e-07,0.0009280454533103735,0.0017095491418581028,9.809618387728975e-09,9.904351764617902e-05,0.0005518257876187275,,,,65481.0
0.0,1.0,240.0,0.95,0.95,1.5,0.1,4.1130614483442696e-07,0.0003662852992771349,0.001151302849988905,8.128910349166602e-07,0.0009016046999193494,0.0017490839220262232,9.721254752193816e-09,9.859642362780618e-05,0.0005535217779515871,,,,65481.0
0.0,1.0,260.0,0.95,0.95,1.5,0.1,3.9061647574944905e-07,0.0003543878906168435,0.0010562216656745409,7.71463608293621e-07,0.0008783300110400537,0.0015631968075171473,9.769343205277144e-09,9.883998788586097e-05,0.0005492465238319347,,,,65481.0
0.0,1.0,280.0,0.95,0.95,1.5,0.1,3.799728537026868e-07,0.00035075966785196326,0.0010160563054324747,7.501840607372666e-07,0.0008661316647815543,0.0014811242002541309,9.761646668106911e-09,9.88010458856935e-05,0.0005509884106108185,,,,65481.0
0.0,1.0,300.0,0.95,0.95,1.5,0.1,3.670920543937648e-07,0.0003496506458969059,0.0010659855404715182,7.244956197259876e-07,0.0008511730844698906,0.001579007762863483,9.68848906154203e-09,9.843012273456754e-05,0.0005529633180795536,,,,65481.0
0.0,1.0,320.0,0.95,0.95,1.5,0.1,3.749367395596673e-07,0.00034981632637098213,0.0010014604848485572,7.401652996939508e-07,0.0008603285998349414,0.0014538823223191587,9.708179425383663e-09,9.853009400880354e-05,0.0005490386473779556,,,,65481.0
0.0,1.0,340.0,0.95,0.95,1.5,0.1,3.5993065660402107e-07,0.0003494843240991326,0.0009860962006004689,7.101263955219646e-07,0.0008426899759235092,0.0014214997906336654,9.734917686077602e-09,9.866568646737123e-05,0.0005506926105672723,,,,65481.0
0.0,1.0,360.0,0.95,0.95,1.5,0.1,3.511979995584418e-07,0.0003439557515264135,0.0009748805308135693,6.926641993838654e-07,0.0008322645008552662,0.0013988523983293648,9.73179973301824e-09,9.864988460722212e-05,0.0005509086632977738,,,,65481.0
0.0,1.0,380.0,0.95,0.95,1.5,0.1,3.408500775300728e-07,0.0003457726916120564,0.0009746521396409683,6.719766020142192e-07,0.0008197417898425206,0.0014024722157640745,9.72355304592654e-09,9.860807799529681e-05,0.0005468320635178619,,,,65481.0
0.0,1.0,400.0,0.95,0.95,1.5,0.1,3.384672817771431e-07,0.0003442140888647612,0.0009597661283012573,6.671991082231095e-07,0.0008168225683850254,0.0013721786393974303,9.735455331176608e-09,9.866841100968744e-05,0.0005473536172050841,,,,65481.0
0.0,1.0,420.0,0.95,0.95,1.5,0.1,3.3657781372571615e-07,0.00034078617776226074,0.0009309851118855453,6.63443673471383e-07,0.0008145205175263438,0.0013131187755329122,9.7119539800492e-09,9.854924647123995e-05,0.0005488514482381783,,,,65481.0
0.0,1.0,440.0,0.95,0.95,1.5,0.1,3.220612659628895e-07,0.00033665824534648444,0.0009482546772088644,6.344040816712809e-07,0.0007964948723446253,0.0013484769041269822,9.718450254497912e-09,9.85822004953121e-05,0.0005480324502907466,,,,65481.0
0.0,1.0,460.0,0.95,0.95,1.5,0.1,3.1995807881139147e-07,0.0003325688095586948,0.0009596597152382274,6.30209068426075e-07,0.0007938570831239557,0.001370768558738827,9.707089196707918e-09,9.852456138805145e-05,0.0005485508717376278,,,,65481.0
0.0,1.0,480.0,0.95,0.95,1.5,0.1,3.2689587307076696e-07,0.00033606110366279945,0.0009515518501182655,6.440933397657011e-07,0.0008025542597019226,0.0013542006081111336,9.698406375832806e-09,9.84804872847043e-05,0.0005489030921253974,,,,65481.0
0.0,1.0,500.0,0.95,0.95,1.5,0.1,3.2979679866788636e-07,0.0003395899452482598,0.0009798457014383371,6.499158474328189e-07,0.0008061735839338938,0.00140994034908709,9.67774990295389e-09,9.837555541369964e-05,0.0005497510537895841,,,,65481.0
1.0,1.0,20.0,0.95,0.95,1.5,0.1,0.00016651311016651648,0.009486496179549124,0.04096956604110597,0.00033294666328124377,0.01824682611527944,0.08058183398085754,7.955705178915901e-08,0.00028205859637521957,0.0013572981013544006,,,,36669.0
1.0,1.0,40.0,0.95,0.95,1.5,0.1,1.221955981264156e-06,0.000820309172463464,0.002897004404798494,2.4249495148853177e-06,0.0015572249403619624,0.005157627097242901,1.896244764299427e-08,0.0001377042034325542,0.0006363817123540877,,,,36669.0
1.0,1.0,60.0,0.95,0.95,1.5,0.1,8.960658893510721e-07,0.0006211442695320431,0.0020194293196278603,1.7789750683850783e-06,0.0013337822417415364,0.0035182471783840076,1.315671031706573e-08,0.00011470270405298094,0.0005206114608717137,,,,36669.0
1.0,1.0,80.0,0.95,0.95,1.5,0.1,7.621978835067001e-07,0.0005301261844557567,0.001788751497831245,1.512576552757883e-06,0.0012298685103529902,0.003011780731371372,1.1819214255517445e-08,0.00010871620971831866,0.0005657222642911187,,,,36669.0
1.0,1.0,100.0,0.95,0.95,1.5,0.1,6.417536478887884e-07,0.00047689948350755683,0.0016542253044408977,1.271756906111866e-06,0.0011277219985935656,0.0027635484028926643,1.1750389665710738e-08,0.00010839921432238676,0.0005449022059891303,,,,36669.0
1.0,1.0,120.0,0.95,0.95,1.5,0.1,5.582417730726809e-07,0.00044187654575276065,0.001431125530742113,1.1052660081565056e-06,0.0010513163216446825,0.00231304618098119,1.1217537988856054e-08,0.00010591287923976033,0.0005492048805030357,,,,36669.0
1.0,1.0,140.0,0.95,0.95,1.5,0.1,4.6047910606356637e-07,0.0004103472692523978,0.0010820059647433642,9.09898742344402e-07,0.0009538861265079821,0.0016348962823212094,1.105946978273093e-08,0.00010516401372489988,0.0005291156471655193,,,,36669.0
1.0,1.0,160.0,0.95,0.95,1.5,0.1,3.916528021447584e-07,0.0003729457723586768,0.0010966329280136936,7.723123257479668e-07,0.0008788130209253654,0.0016565974933517385,1.0993278541549968e-08,0.00010484883662468539,0.0005366683626756489,,,,36669.0
1.0,1.0,180.0,0.95,0.95,1.5,0.1,3.9534390718875375e-07,0.0003720585586087616,0.0010668883571430608,7.796377267340271e-07,0.000882970965963223,0.0015901622776667956,1.1050087643480325e-08,0.00010511939708484026,0.0005436144366193262,,,,36669.0
1.0,1.0,200.0,0.95,0.95,1.5,0.1,3.5068746393219913e-07,0.00035109802168028023,0.0010127955120589813,6.904272040009689e-07,0.0008309194930924229,0.001491091749931088,1.0947723863429549e-08,0.00010463137131582262,0.000534499274186874,,,,36669.0
1.0,1.0,220.0,0.95,0.95,1.5,0.1,3.8408767174346693e-07,0.00036859310531392036,0.0010021228291585006,7.573069783765655e-07,0.0008702338641862689,0.0014630350638299952,1.0868365110368543e-08,0.00010425145135857122,0.0005412105944870058,,,,36669.0
1.0,1.0,240.0,0.95,0.95,1.5,0.1,3.5069935691395806e-07,0.00035066863676014185,0.0010265266884378673,6.904901609344927e-07,0.0008309573761237653,0.0015164471442932867,1.0908552893423504e-08,0.00010444401798774071,0.0005366062325824482,,,,36669.0
