ROUND,WINDOW,NEURONS,LEAK,SPARSITY,SCALE,RADIUS,MSE,RMSE,MAPE,MSE(X),RMSE(X),MAPE(X),MSE(Y),RMSE(Y),MAPE(Y),MSE(Z),RMSE(Z),MAPE(Z),FRAMEWORK
0.0,1.0,20.0,0.95,0.75,0.3,0.7,7.029916187561868e-05,0.00625005621858277,0.025465629220715234,7.029916187561868e-05,0.00625005621858277,0.025465629220715234,,,,,,,58009.0
0.0,1.0,40.0,0.95,0.75,0.3,0.7,5.140739328400384e-05,0.0052879862558008,0.020836519587095356,5.140739328400384e-05,0.0052879862558008,0.020836519587095356,,,,,,,58009.0
0.0,1.0,60.0,0.95,0.75,0.3,0.7,4.994352411270527e-05,0.005279220385198832,0.02108341528765148,4.994352411270527e-05,0.005279220385198832,0.02108341528765148,,,,,,,58009.0
0.0,1.0,80.0,0.95,0.75,0.3,0.7,4.223835326471674e-05,0.004799694955482,0.019453338723577285,4.223835326471674e-05,0.004799694955482,0.019453338723577285,,,,,,,58009.0
0.0,1.0,100.0,0.95,0.75,0.3,0.7,4.4118881776999155e-05,0.004922971312167028,0.01976928213785396,4.4118881776999155e-05,0.004922971312167028,0.01976928213785396,,,,,,,58009.0
0.0,1.0,120.0,0.95,0.75,0.3,0.7,4.015176082424746e-05,0.0046872672746477535,0.018313336575459103,4.015176082424746e-05,0.0046872672746477535,0.018313336575459103,,,,,,,58009.0
0.0,1.0,140.0,0.95,0.75,0.3,0.7,4.048805457312557e-05,0.00469620390105314,0.018280792300798657,4.048805457312557e-05,0.00469620390105314,0.018280792300798657,,,,,,,58009.0
0.0,1.0,160.0,0.95,0.75,0.3,0.7,3.82497730972061e-05,0.00455042106378656,0.018020174811524264,3.82497730972061e-05,0.00455042106378656,0.018020174811524264,,,,,,,58009.0
0.0,1.0,180.0,0.95,0.75,0.3,0.7,4.1095360812939055e-05,0.004725156686987764,0.019025923324502137,4.1095360812939055e-05,0.004725156686987764,0.019025923324502137,,,,,,,58009.0
0.0,1.0,200.0,0.95,0.75,0.3,0.7,3.814316091084509e-05,0.004529959761367781,0.01805122768780409,3.814316091084509e-05,0.004529959761367781,0.01805122768780409,,,,,,,58009.0
0.0,1.0,220.0,0.95,0.75,0.3,0.7,3.824928407547719e-05,0.0045259511049595075,0.01762851575659181,3.824928407547719e-05,0.0045259511049595075,0.01762851575659181,,,,,,,58009.0
0.0,1.0,240.0,0.95,0.75,0.3,0.7,3.8262282103115655e-05,0.004568426389730719,0.018278512172282782,3.8262282103115655e-05,0.004568426389730719,0.018278512172282782,,,,,,,58009.0
0.0,1.0,260.0,0.95,0.75,0.3,0.7,3.874466655794428e-05,0.004587652192197193,0.01882111546758006,3.874466655794428e-05,0.004587652192197193,0.01882111546758006,,,,,,,58009.0
0.0,1.0,280.0,0.95,0.75,0.3,0.7,3.7402934446088696e-05,0.0044950559077062,0.017869380946923617,3.7402934446088696e-05,0.0044950559077062,0.017869380946923617,,,,,,,58009.0
0.0,1.0,300.0,0.95,0.75,0.3,0.7,3.760523529470269e-05,0.004504408435856705,0.018178229957348538,3.760523529470269e-05,0.004504408435856705,0.018178229957348538,,,,,,,58009.0
0.0,1.0,320.0,0.95,0.75,0.3,0.7,3.691126718768329e-05,0.004475484212355569,0.017504041885564498,3.691126718768329e-05,0.004475484212355569,0.017504041885564498,,,,,,,58009.0
0.0,1.0,340.0,0.95,0.75,0.3,0.7,3.553558676308066e-05,0.004394700507286224,0.01749294631013144,3.553558676308066e-05,0.004394700507286224,0.01749294631013144,,,,,,,58009.0
0.0,1.0,360.0,0.95,0.75,0.3,0.7,3.719798997193123e-05,0.00449560966177899,0.017835217911714062,3.719798997193123e-05,0.00449560966177899,0.017835217911714062,,,,,,,58009.0
0.0,1.0,380.0,0.95,0.75,0.3,0.7,3.609609017211867e-05,0.004426233769241571,0.017621997388910363,3.609609017211867e-05,0.004426233769241571,0.017621997388910363,,,,,,,58009.0
0.0,1.0,400.0,0.95,0.75,0.3,0.7,3.587259287757991e-05,0.004412110519838838,0.017712556468063637,3.587259287757991e-05,0.004412110519838838,0.017712556468063637,,,,,,,58009.0
0.0,1.0,420.0,0.95,0.75,0.3,0.7,3.5399980230439005e-05,0.004391068707130855,0.01744994947664826,3.5399980230439005e-05,0.004391068707130855,0.01744994947664826,,,,,,,58009.0
0.0,1.0,440.0,0.95,0.75,0.3,0.7,3.52883806814772e-05,0.0043773112337929295,0.0177962354923987,3.52883806814772e-05,0.0043773112337929295,0.0177962354923987,,,,,,,58009.0
0.0,1.0,460.0,0.95,0.75,0.3,0.7,3.480653670563599e-05,0.004349491569404825,0.017718010210248936,3.480653670563599e-05,0.004349491569404825,0.017718010210248936,,,,,,,58009.0
0.0,1.0,480.0,0.95,0.75,0.3,0.7,3.508381147328982e-05,0.004368319902107659,0.017533655704513706,3.508381147328982e-05,0.004368319902107659,0.017533655704513706,,,,,,,58009.0
0.0,1.0,500.0,0.95,0.75,0.3,0.7,3.449153829222521e-05,0.004336594995959849,0.017459334929165838,3.449153829222521e-05,0.004336594995959849,0.017459334929165838,,,,,,,58009.0
1.0,1.0,20.0,0.95,0.75,0.3,0.7,7.488039973217435e-05,0.006574525348067899,0.0327544633659742,7.488039973217435e-05,0.006574525348067899,0.0327544633659742,,,,,,,156134.0
1.0,1.0,40.0,0.95,0.75,0.3,0.7,5.0353979524376666e-05,0.005364830027738493,0.023267665670460205,5.0353979524376666e-05,0.005364830027738493,0.023267665670460205,,,,,,,156134.0
1.0,1.0,60.0,0.95,0.75,0.3,0.7,4.491815621991108e-05,0.005090367131850229,0.023887627922984128,4.491815621991108e-05,0.005090367131850229,0.023887627922984128,,,,,,,156134.0
1.0,1.0,80.0,0.95,0.75,0.3,0.7,4.22636316150158e-05,0.004821077195488717,0.023062180801186966,4.22636316150158e-05,0.004821077195488717,0.023062180801186966,,,,,,,156134.0
1.0,1.0,100.0,0.95,0.75,0.3,0.7,4.461030712770729e-05,0.005009718517635112,0.023815285783989747,4.461030712770729e-05,0.005009718517635112,0.023815285783989747,,,,,,,156134.0
1.0,1.0,120.0,0.95,0.75,0.3,0.7,4.390487440997883e-05,0.004911310774945854,0.02342276929017241,4.390487440997883e-05,0.004911310774945854,0.02342276929017241,,,,,,,156134.0
1.0,1.0,140.0,0.95,0.75,0.3,0.7,4.315508894132259e-05,0.004880886764996624,0.024008954945538376,4.315508894132259e-05,0.004880886764996624,0.024008954945538376,,,,,,,156134.0
1.0,1.0,160.0,0.95,0.75,0.3,0.7,4.247365207040288e-05,0.004854912736009231,0.02300396482866951,4.247365207040288e-05,0.004854912736009231,0.02300396482866951,,,,,,,156134.0
1.0,1.0,180.0,0.95,0.75,0.3,0.7,4.133415576140788e-05,0.00476971024220493,0.02198877782696516,4.133415576140788e-05,0.00476971024220493,0.02198877782696516,,,,,,,156134.0
1.0,1.0,200.0,0.95,0.75,0.3,0.7,3.940319428688982e-05,0.004637631227676268,0.022810003932038143,3.940319428688982e-05,0.004637631227676268,0.022810003932038143,,,,,,,156134.0
1.0,1.0,220.0,0.95,0.75,0.3,0.7,3.871440274715504e-05,0.004598655176679695,0.023383854385886613,3.871440274715504e-05,0.004598655176679695,0.023383854385886613,,,,,,,156134.0
1.0,1.0,240.0,0.95,0.75,0.3,0.7,3.6911371390216465e-05,0.00447028885424107,0.0226105127912374,3.6911371390216465e-05,0.00447028885424107,0.0226105127912374,,,,,,,156134.0
1.0,1.0,260.0,0.95,0.75,0.3,0.7,3.8750562885414704e-05,0.004574890055031232,0.02282589459382088,3.8750562885414704e-05,0.004574890055031232,0.02282589459382088,,,,,,,156134.0
