ROUND,WINDOW,NEURONS,LEAK,SPARSITY,SCALE,RADIUS,MSE,RMSE,MAPE,MSE(X),RMSE(X),MAPE(X),MSE(Y),RMSE(Y),MAPE(Y),MSE(Z),RMSE(Z),MAPE(Z),FRAMEWORK
0.0,1.0,20.0,0.95,0.75,0.3,0.7,7.770966222242215e-05,0.00626772150108562,0.03145828625743501,7.770966222242215e-05,0.00626772150108562,0.03145828625743501,,,,,,,58009.0
0.0,1.0,40.0,0.95,0.75,0.3,0.7,6.208657142738801e-05,0.00552302539031207,0.022237444778514644,6.208657142738801e-05,0.00552302539031207,0.022237444778514644,,,,,,,58009.0
0.0,1.0,60.0,0.95,0.75,0.3,0.7,5.81130751538451e-05,0.005336505005049948,0.021358306670043722,5.81130751538451e-05,0.005336505005049948,0.021358306670043722,,,,,,,58009.0
0.0,1.0,80.0,0.95,0.75,0.3,0.7,5.600136568070618e-05,0.005206918865264449,0.020705822346367624,5.600136568070618e-05,0.005206918865264449,0.020705822346367624,,,,,,,58009.0
0.0,1.0,100.0,0.95,0.75,0.3,0.7,5.4688076348431275e-05,0.005137745209381092,0.020015421699410833,5.4688076348431275e-05,0.005137745209381092,0.020015421699410833,,,,,,,58009.0
0.0,1.0,120.0,0.95,0.75,0.3,0.7,5.164819870765588e-05,0.00501585119737763,0.022517170206755442,5.164819870765588e-05,0.00501585119737763,0.022517170206755442,,,,,,,58009.0
0.0,1.0,140.0,0.95,0.75,0.3,0.7,5.1311447271026135e-05,0.004989895909561654,0.02014982073011778,5.1311447271026135e-05,0.004989895909561654,0.02014982073011778,,,,,,,58009.0
0.0,1.0,160.0,0.95,0.75,0.3,0.7,4.9756294603801596e-05,0.004885917835598747,0.019606078858235156,4.9756294603801596e-05,0.004885917835598747,0.019606078858235156,,,,,,,58009.0
0.0,1.0,180.0,0.95,0.75,0.3,0.7,4.962062807460386e-05,0.004872910566262299,0.01915971682886936,4.962062807460386e-05,0.004872910566262299,0.01915971682886936,,,,,,,58009.0
0.0,1.0,200.0,0.95,0.75,0.3,0.7,4.800435623884038e-05,0.004805577845061007,0.019023601632381974,4.800435623884038e-05,0.004805577845061007,0.019023601632381974,,,,,,,58009.0
0.0,1.0,220.0,0.95,0.75,0.3,0.7,5.094673503039721e-05,0.004950099395228463,0.019776628591153457,5.094673503039721e-05,0.004950099395228463,0.019776628591153457,,,,,,,58009.0
0.0,1.0,240.0,0.95,0.75,0.3,0.7,4.808740386948057e-05,0.004820787182924834,0.019105040146548936,4.808740386948057e-05,0.004820787182924834,0.019105040146548936,,,,,,,58009.0
0.0,1.0,260.0,0.95,0.75,0.3,0.7,4.760425087354318e-05,0.004789421438679948,0.02059550662938865,4.760425087354318e-05,0.004789421438679948,0.02059550662938865,,,,,,,58009.0
0.0,1.0,280.0,0.95,0.75,0.3,0.7,5.002509825598756e-05,0.004908387182762941,0.019656693422243642,5.002509825598756e-05,0.004908387182762941,0.019656693422243642,,,,,,,58009.0
0.0,1.0,300.0,0.95,0.75,0.3,0.7,4.8313170158089025e-05,0.004826166508883337,0.019624072532742017,4.8313170158089025e-05,0.004826166508883337,0.019624072532742017,,,,,,,58009.0
0.0,1.0,320.0,0.95,0.75,0.3,0.7,4.787176679475748e-05,0.004786936670278519,0.01920660218618906,4.787176679475748e-05,0.004786936670278519,0.01920660218618906,,,,,,,58009.0
0.0,1.0,340.0,0.95,0.75,0.3,0.7,4.821316040981068e-05,0.004802080503571887,0.019366064486646455,4.821316040981068e-05,0.004802080503571887,0.019366064486646455,,,,,,,58009.0
0.0,1.0,360.0,0.95,0.75,0.3,0.7,4.718541744834461e-05,0.0047709469171556785,0.019065077907757102,4.718541744834461e-05,0.0047709469171556785,0.019065077907757102,,,,,,,58009.0
0.0,1.0,380.0,0.95,0.75,0.3,0.7,4.579552645195336e-05,0.004687636370038071,0.018352735234793773,4.579552645195336e-05,0.004687636370038071,0.018352735234793773,,,,,,,58009.0
0.0,1.0,400.0,0.95,0.75,0.3,0.7,4.7807854858216826e-05,0.004784388998391157,0.019400794445368366,4.7807854858216826e-05,0.004784388998391157,0.019400794445368366,,,,,,,58009.0
0.0,1.0,420.0,0.95,0.75,0.3,0.7,4.607108785493988e-05,0.004693114862448045,0.018929213619121758,4.607108785493988e-05,0.004693114862448045,0.018929213619121758,,,,,,,58009.0
0.0,1.0,440.0,0.95,0.75,0.3,0.7,4.728038006663943e-05,0.004755417975832657,0.019060567049263278,4.728038006663943e-05,0.004755417975832657,0.019060567049263278,,,,,,,58009.0
0.0,1.0,460.0,0.95,0.75,0.3,0.7,4.608587357404145e-05,0.004697434192949885,0.020181455849972187,4.608587357404145e-05,0.004697434192949885,0.020181455849972187,,,,,,,58009.0
0.0,1.0,480.0,0.95,0.75,0.3,0.7,4.699585523475165e-05,0.004760740178724208,0.021096210427316103,4.699585523475165e-05,0.004760740178724208,0.021096210427316103,,,,,,,58009.0
0.0,1.0,500.0,0.95,0.75,0.3,0.7,4.579594387225025e-05,0.004681694642453813,0.018635692255721325,4.579594387225025e-05,0.004681694642453813,0.018635692255721325,,,,,,,58009.0
1.0,1.0,20.0,0.95,0.75,0.3,0.7,8.040801537569947e-05,0.006407946244841358,0.04226682381009023,8.040801537569947e-05,0.006407946244841358,0.04226682381009023,,,,,,,156134.0
1.0,1.0,40.0,0.95,0.75,0.3,0.7,7.566878752693785e-05,0.006270481753572452,0.07268741352869375,7.566878752693785e-05,0.006270481753572452,0.07268741352869375,,,,,,,156134.0
1.0,1.0,60.0,0.95,0.75,0.3,0.7,5.7418357709199356e-05,0.005298275605187777,0.025165101647796017,5.7418357709199356e-05,0.005298275605187777,0.025165101647796017,,,,,,,156134.0
1.0,1.0,80.0,0.95,0.75,0.3,0.7,5.276773157641002e-05,0.005094688138599241,0.030366035175689202,5.276773157641002e-05,0.005094688138599241,0.030366035175689202,,,,,,,156134.0
1.0,1.0,100.0,0.95,0.75,0.3,0.7,5.119220163988475e-05,0.0049882260268187765,0.03409903531277674,5.119220163988475e-05,0.0049882260268187765,0.03409903531277674,,,,,,,156134.0
1.0,1.0,120.0,0.95,0.75,0.3,0.7,5.2113660694864894e-05,0.005039955347255205,0.029013258949062905,5.2113660694864894e-05,0.005039955347255205,0.029013258949062905,,,,,,,156134.0
1.0,1.0,140.0,0.95,0.75,0.3,0.7,5.189711678859768e-05,0.00502924353407858,0.030048408793890462,5.189711678859768e-05,0.00502924353407858,0.030048408793890462,,,,,,,156134.0
1.0,1.0,160.0,0.95,0.75,0.3,0.7,5.0253806591538496e-05,0.0049441464698665,0.027346442212481264,5.0253806591538496e-05,0.0049441464698665,0.027346442212481264,,,,,,,156134.0
1.0,1.0,180.0,0.95,0.75,0.3,0.7,4.8285056738207864e-05,0.004851236962313811,0.020280915841409754,4.8285056738207864e-05,0.004851236962313811,0.020280915841409754,,,,,,,156134.0
1.0,1.0,200.0,0.95,0.75,0.3,0.7,4.974022905599045e-05,0.004949384716660913,0.027985772497164812,4.974022905599045e-05,0.004949384716660913,0.027985772497164812,,,,,,,156134.0
1.0,1.0,220.0,0.95,0.75,0.3,0.7,4.9741490189238643e-05,0.004943517937977251,0.02399014610828803,4.9741490189238643e-05,0.004943517937977251,0.02399014610828803,,,,,,,156134.0
1.0,1.0,240.0,0.95,0.75,0.3,0.7,4.906130581997625e-05,0.004904549587052346,0.026315226573548747,4.906130581997625e-05,0.004904549587052346,0.026315226573548747,,,,,,,156134.0
1.0,1.0,260.0,0.95,0.75,0.3,0.7,4.7380625031924584e-05,0.004804773529096881,0.027351967280821603,4.7380625031924584e-05,0.004804773529096881,0.027351967280821603,,,,,,,156134.0
1.0,1.0,280.0,0.95,0.75,0.3,0.7,4.843960350978961e-05,0.004863856675937592,0.027464023177496518,4.843960350978961e-05,0.004863856675937592,0.027464023177496518,,,,,,,156134.0
1.0,1.0,300.0,0.95,0.75,0.3,0.7,4.8392023622492675e-05,0.00485164729753934,0.025042149313441946,4.8392023622492675e-05,0.00485164729753934,0.025042149313441946,,,,,,,156134.0
1.0,1.0,320.0,0.95,0.75,0.3,0.7,4.762694270152238e-05,0.00480977451609659,0.024029281921112727,4.762694270152238e-05,0.00480977451609659,0.024029281921112727,,,,,,,156134.0
1.0,1.0,340.0,0.95,0.75,0.3,0.7,4.807574372912909e-05,0.004834077055043912,0.023031504558875714,4.807574372912909e-05,0.004834077055043912,0.023031504558875714,,,,,,,156134.0
1.0,1.0,360.0,0.95,0.75,0.3,0.7,4.7452343454647825e-05,0.004808297450995848,0.02227028402650102,4.7452343454647825e-05,0.004808297450995848,0.02227028402650102,,,,,,,156134.0
1.0,1.0,380.0,0.95,0.75,0.3,0.7,4.740789441828006e-05,0.004809418131485479,0.02132329582572332,4.740789441828006e-05,0.004809418131485479,0.02132329582572332,,,,,,,156134.0
1.0,1.0,400.0,0.95,0.75,0.3,0.7,4.7153802536923785e-05,0.004790684454133037,0.020450344644262198,4.7153802536923785e-05,0.004790684454133037,0.020450344644262198,,,,,,,156134.0
