ROUND,WINDOW,NEURONS,LEAK,SPARSITY,SCALE,RADIUS,MSE,RMSE,MAPE,MSE(X),RMSE(X),MAPE(X),MSE(Y),RMSE(Y),MAPE(Y),MSE(Z),RMSE(Z),MAPE(Z),HITS,FRAMEWORK
0.0,16.0,20.0,0.55,0.75,0.1,0.1,0.7424007416659545,0.5689290724930643,1.2233277085118526,0.7424007416659545,0.5689290724930643,1.2233277085118526,,,,,,,0.49798967469496375,182460.0
0.0,16.0,40.0,0.55,0.75,0.1,0.1,0.7811643626674036,0.5829830072996927,1.3590080596454848,0.7811643626674036,0.5829830072996927,1.3590080596454848,,,,,,,0.4972259756964025,182460.0
0.0,16.0,60.0,0.55,0.75,0.1,0.1,0.7810206988686815,0.5844255432723711,1.353044136844535,0.7810206988686815,0.5844255432723711,1.353044136844535,,,,,,,0.4987758354287768,182460.0
0.0,16.0,80.0,0.55,0.75,0.1,0.1,0.8671204292844011,0.5987261421154036,1.4810719906434666,0.8671204292844011,0.5987261421154036,1.4810719906434666,,,,,,,0.4988881441050358,182460.0
0.0,16.0,100.0,0.55,0.75,0.1,0.1,1.1707019635758074,0.6203676374349607,1.5944478472866117,1.1707019635758074,0.6203676374349607,1.5944478472866117,,,,,,,0.49922507013381284,182460.0
0.0,16.0,120.0,0.55,0.75,0.1,0.1,1.0483060819441175,0.6097250328789359,1.5653054564229907,1.0483060819441175,0.6097250328789359,1.5653054564229907,,,,,,,0.4985736798115106,182460.0
0.0,16.0,140.0,0.55,0.75,0.1,0.1,1.1178495534776411,0.623109341817997,1.5642898506740555,1.1178495534776411,0.623109341817997,1.5642898506740555,,,,,,,0.5001235395438849,182460.0
0.0,16.0,160.0,0.55,0.75,0.1,0.1,1.2807162407236505,0.6332833105419678,1.5770381420752921,1.2807162407236505,0.6332833105419678,1.5770381420752921,,,,,,,0.4999663073971223,182460.0
0.0,16.0,180.0,0.55,0.75,0.1,0.1,1.3676503069730797,0.6446313422354112,1.6156097589440717,1.3676503069730797,0.6446313422354112,1.6156097589440717,,,,,,,0.499202608398561,182460.0
0.0,16.0,200.0,0.55,0.75,0.1,0.1,1.433631389565843,0.6446232889388408,1.6488409312489458,1.433631389565843,0.6446232889388408,1.6488409312489458,,,,,,,0.49940476401582723,182460.0
